,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,Total
benchmarks,0,0,0,0,0,0,0,0,0,0,5,0,0,0,8,5,13,22,13,17,41,83,78,134,213,310,500,687,1065,1637,2632,3313,4013,5894,9204,17413,47300
requires,0,0,0,0,8,11,0,5,16,7,21,25,25,34,37,32,65,91,129,154,273,360,438,555,681,858,1145,1555,2252,3056,3964,4471,4970,5856,6906,9272,47272
make,0,0,0,0,8,13,5,12,14,12,21,28,26,41,50,49,56,128,131,219,388,424,595,727,835,961,1327,1853,2597,3472,4616,5244,5638,6141,6034,5534,47199
improved,0,0,0,0,0,7,10,11,10,11,18,7,14,16,30,46,64,85,126,152,293,347,510,648,656,830,1060,1465,2178,2865,3743,4256,4620,5943,7652,9501,47174
reduce,0,0,0,0,0,0,6,8,11,10,12,22,21,14,26,38,60,94,92,133,274,330,522,581,691,900,1127,1609,2252,3020,4288,4621,5076,5950,6977,8292,47057
reconstruction,0,0,0,0,0,0,0,0,0,0,0,0,9,26,18,19,20,63,74,152,218,310,366,499,489,652,863,1445,1815,2651,3319,3870,4664,6135,8497,10855,47029
sets,0,0,0,0,0,9,14,10,14,74,59,46,70,73,76,125,186,219,264,410,605,815,1088,1293,1417,1515,1830,2074,2601,3404,4188,4343,4416,4925,5213,5445,46821
yet,0,0,0,0,6,0,0,5,6,8,6,14,16,19,12,24,44,44,62,94,148,200,290,313,431,574,730,1041,1518,2084,2828,3580,4165,5406,7849,15253,46770
points,0,0,0,0,0,0,0,0,17,34,22,31,39,50,71,72,75,153,189,274,391,590,792,865,913,1117,1484,1910,2484,3250,4381,4451,4726,5292,6326,6737,46736
addition,0,0,0,0,10,7,10,5,15,15,25,20,23,34,35,67,78,96,135,219,339,451,648,749,826,1012,1290,1776,2485,3439,4345,4887,5517,6055,6078,5776,46467
medical,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,16,7,20,55,58,81,81,152,272,222,263,488,798,1547,2158,3444,3779,4486,6889,10195,11356,46390
tools,0,0,0,0,0,0,0,0,12,15,38,43,37,75,43,60,80,155,158,187,313,402,538,655,767,833,1022,1413,1975,2528,3252,3689,3743,5505,7899,10888,46325
towards,0,0,0,0,8,6,6,8,7,7,17,17,13,16,22,34,41,46,82,131,243,281,377,492,607,727,977,1398,2121,2978,4228,4949,5241,6330,7925,6988,46323
examples,0,0,0,0,13,15,11,13,20,24,56,35,52,56,51,57,93,139,168,184,315,444,550,706,758,821,1190,1687,2704,3808,4870,4920,4842,5917,5912,5852,46283
implementation,0,0,0,0,32,22,22,16,35,29,53,56,52,100,107,65,165,169,223,362,587,690,886,1059,1155,1379,1556,1959,2483,2972,4056,4159,3984,4816,6069,6918,46236
achieved,0,0,0,0,5,8,10,0,10,10,7,15,15,32,21,51,56,125,139,168,276,322,408,547,662,731,1093,1483,2187,3050,3955,4466,4882,5692,7146,8522,46094
improves,0,0,0,0,6,0,0,5,9,5,6,8,7,13,10,24,35,49,94,118,181,236,321,375,420,529,757,1138,1727,2508,3363,4000,4498,5427,7426,12761,46056
findings,0,0,0,0,0,0,0,0,0,0,0,10,0,10,0,0,17,28,47,36,92,116,168,225,312,353,475,581,983,1369,2055,2617,2867,5927,10769,16917,45974
value,0,0,0,0,6,8,0,9,8,23,23,35,42,40,43,76,100,118,208,312,469,668,871,1055,1010,1042,1281,1631,2167,3161,3968,4098,4475,5153,5969,7738,45807
latent,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,9,9,18,15,70,83,348,239,364,457,743,1158,2125,3130,3915,4162,4817,6114,7514,10487,45783
devices,0,0,0,0,0,0,0,0,0,0,6,16,0,24,23,17,53,127,128,109,221,264,375,548,639,856,1243,1838,2739,3248,4411,5054,4984,5632,6529,6640,45724
capture,0,0,0,0,7,0,0,0,5,5,0,9,8,8,12,18,24,50,49,83,124,171,240,288,387,506,886,1165,1754,2362,3329,3800,4057,5507,8284,12482,45620
still,0,0,0,0,0,0,0,5,5,7,16,23,14,30,24,34,57,71,83,130,243,287,389,486,608,801,1016,1380,2094,2997,3930,4666,5244,6440,7102,7428,45610
gap,0,0,0,0,0,0,0,0,0,6,7,0,7,5,15,24,20,63,66,104,200,275,251,330,348,506,625,778,1186,1649,2450,3191,3846,5799,9193,14399,45343
decision,0,0,0,0,23,16,14,15,9,22,38,23,41,44,48,85,119,142,203,240,422,626,879,1263,907,1032,1240,1653,2311,3128,4290,4403,4588,4930,5468,7026,45248
nonlinear,0,0,0,0,0,0,0,0,11,72,35,37,20,31,23,50,43,87,82,117,212,333,429,616,732,925,1220,1547,2151,3337,4654,4711,4754,5223,6075,7386,44913
main,0,0,0,0,11,7,8,8,18,19,20,40,47,54,63,71,120,184,263,366,606,714,947,1090,1133,1321,1639,2052,2687,3413,4268,4512,4631,4866,5206,4463,44847
uses,0,0,0,0,28,18,21,19,20,19,48,34,29,48,52,62,81,107,164,239,371,492,638,794,841,1037,1275,1737,2422,3172,4065,4399,4680,5331,5909,6644,44796
realtime,0,0,0,0,0,0,5,0,0,6,8,13,0,14,19,27,31,52,72,91,233,227,286,361,415,588,956,1406,1948,2466,3501,3744,3709,4981,7549,11998,44706
investigate,0,0,0,0,0,5,6,6,13,10,28,18,24,26,40,42,80,97,172,215,344,491,619,789,885,1039,1268,1653,2134,3016,3814,4234,4524,5712,6432,6956,44692
require,0,0,0,0,5,5,0,6,7,15,11,15,25,31,26,30,46,65,95,123,192,290,439,527,555,712,982,1390,2085,2915,3886,4356,4753,5707,6870,8478,44642
flow,0,0,0,0,0,0,0,0,21,10,13,35,28,11,30,35,57,84,167,142,310,428,406,606,473,821,1172,1558,2217,3060,3924,4166,4198,5160,6545,8743,44420
obtain,0,0,0,0,0,6,0,5,18,20,30,27,38,32,45,81,108,159,215,341,508,612,780,936,1063,1260,1549,1910,2516,3442,4434,4786,5012,5406,4997,4060,44396
settings,0,0,0,0,0,0,0,0,0,0,0,6,8,12,10,7,16,30,44,71,117,175,294,314,399,491,640,926,1436,2155,3016,3799,4505,5910,7970,12032,44383
obtained,0,0,0,0,8,11,10,13,19,29,32,38,38,53,62,98,124,221,311,367,599,736,954,1177,1247,1394,1763,2158,2655,3455,4471,4694,4764,4641,4645,3594,44381
similar,0,0,0,0,11,11,17,0,12,15,22,31,36,32,61,67,88,110,162,217,335,448,612,704,835,1027,1313,1701,2391,3205,4130,4625,4870,5425,5921,5939,44373
distance,0,0,0,0,0,11,19,11,11,19,8,42,42,55,60,117,112,188,260,365,553,679,811,1062,1154,1367,1504,1899,2585,3212,3862,4269,4131,4854,5385,5580,44227
finite,0,0,0,0,8,13,13,13,27,70,79,72,61,85,110,143,189,292,454,462,707,946,1081,1279,1340,1439,1572,1816,2085,3230,3943,4076,4087,4349,4881,5192,44114
uncertainty,0,0,0,0,0,0,0,0,0,0,12,10,8,17,5,52,31,45,58,96,148,228,341,795,413,438,604,899,1571,2628,3657,4457,4673,5799,7324,9733,44042
improving,0,0,0,0,10,6,0,0,6,0,13,10,15,11,11,16,29,35,67,82,146,217,248,359,374,476,640,972,1403,2058,2939,3516,3888,5657,8839,11923,43966
architectures,0,0,0,0,0,6,0,0,0,0,0,0,0,6,21,12,20,75,57,71,142,132,172,264,374,559,862,1355,2184,3087,3946,4301,4441,4946,6680,10209,43922
higher,0,0,0,0,7,6,7,6,7,13,14,26,20,21,24,28,44,91,116,159,257,334,468,556,682,834,1074,1447,2129,2847,3760,4089,4395,5271,6535,8491,43758
planning,0,0,0,0,16,34,9,14,15,0,19,17,16,11,33,0,40,27,25,85,84,388,307,410,476,388,736,1087,1742,2442,3360,3649,3970,5572,7821,10922,43715
robot,0,0,0,0,0,0,0,0,0,0,20,0,11,13,45,13,30,24,55,72,104,115,206,299,324,420,871,1467,2105,2829,3727,4107,4936,6080,7755,8071,43699
structures,0,0,0,0,34,36,30,25,33,40,27,29,41,58,53,74,83,144,208,238,397,431,603,868,749,915,1178,1537,2184,2853,3406,3602,3983,4969,6369,8446,43643
interaction,0,0,0,0,6,8,0,6,0,11,17,27,24,41,14,25,31,96,110,134,238,251,357,458,603,604,908,1202,1453,2281,3176,3652,4162,5511,7581,10466,43453
open,0,0,0,0,0,0,0,0,14,18,19,48,36,73,45,65,106,109,140,249,373,460,630,708,919,1033,1167,1658,2184,2743,3642,3909,4406,5183,6263,7236,43436
form,0,0,0,0,34,32,19,20,18,28,46,45,54,68,94,85,135,205,284,326,530,651,886,1027,1149,1335,1564,1883,2340,3090,4005,4185,4191,4754,4838,5393,43314
making,0,0,0,0,10,0,5,6,11,5,15,14,26,26,29,34,39,74,90,134,188,232,445,573,556,606,827,1230,1849,2402,3247,3688,4041,5450,7360,9882,43094
solve,0,0,0,0,5,0,0,0,8,12,33,30,28,41,41,45,62,112,129,210,327,465,583,801,872,1047,1217,1638,2229,3325,4351,4608,5130,5303,5389,4789,42830
matching,0,0,0,0,0,8,7,0,0,7,24,16,9,14,14,32,69,114,149,197,394,439,497,714,891,1012,1404,1801,2349,2751,3393,3839,4166,4767,5835,7778,42690
resulting,0,0,0,0,9,10,12,9,11,14,19,34,24,32,36,50,70,88,121,164,253,363,439,566,641,819,1065,1327,1808,2601,3291,3655,4016,5696,7233,8208,42684
module,0,0,0,0,9,0,0,12,12,0,5,7,10,0,23,13,28,38,34,41,57,67,96,119,142,180,231,543,991,1925,3163,4193,5019,6550,8694,10452,42654
objective,0,0,0,0,0,0,0,0,0,0,8,0,13,8,16,29,45,69,126,161,272,369,485,546,697,837,1198,1491,2087,3004,4138,4188,4467,5306,5983,6894,42437
sequence,0,0,0,0,12,0,0,0,15,12,46,37,42,60,42,105,125,184,205,290,407,470,663,773,830,1052,1469,1798,2565,3055,3673,3950,4099,4725,5593,6116,42413
issues,0,0,0,0,6,13,6,9,33,7,22,42,24,46,39,31,63,71,95,154,251,275,394,540,515,613,716,1015,1517,2135,3098,3597,4104,5808,8374,8762,42375
question,0,0,0,0,8,9,0,0,14,16,17,30,31,29,34,35,62,77,97,202,308,364,409,571,613,808,1130,1490,2035,2906,3559,3822,4001,5142,6647,7800,42266
tool,0,0,0,0,12,13,10,13,5,14,21,26,27,63,30,67,97,138,133,229,350,423,529,607,734,857,984,1337,1819,2310,3150,3540,3530,5024,6981,9166,42239
empirical,0,0,0,0,13,16,16,13,10,13,7,20,17,15,28,21,36,55,55,108,183,310,443,593,610,778,910,1284,1869,2585,3304,3776,3975,5284,6811,8985,42143
remains,0,0,0,0,0,0,0,0,0,7,0,6,10,5,16,15,24,37,44,76,110,145,204,211,255,337,438,608,951,1373,1836,2156,2511,4399,8172,17967,41913
signal,0,0,0,0,0,0,0,0,0,5,12,11,12,13,15,83,86,146,261,376,573,674,895,1233,1323,1478,1843,2036,2452,2920,3456,3525,3699,4026,4699,5984,41836
related,0,0,0,0,9,16,5,12,13,24,33,27,36,55,54,68,95,166,194,328,420,526,760,887,956,1138,1346,1675,2246,2878,4007,4236,4281,4853,5588,4843,41775
enabling,0,0,0,0,0,0,0,0,0,0,0,6,0,9,5,8,15,14,30,33,56,68,105,132,170,239,400,546,767,1045,1460,1758,2063,4317,8669,19807,41722
retrieval,0,0,0,0,7,0,14,20,14,22,33,13,32,37,31,36,26,37,50,115,204,226,310,360,464,662,915,1195,1561,1761,2283,2691,3754,4895,8102,11849,41719
parameter,0,0,0,0,0,0,8,0,10,7,15,18,33,20,16,49,61,72,157,213,315,433,644,776,829,1022,1156,1398,1865,2629,3526,3544,3730,4623,6180,8345,41694
additionally,0,0,0,0,0,0,0,0,0,0,8,0,0,8,7,12,15,16,37,38,64,108,138,178,240,344,461,727,970,1411,2045,2344,2822,6180,12225,11276,41674
promising,0,0,0,0,0,0,0,0,0,0,7,9,6,11,12,11,18,31,52,55,103,110,194,244,315,467,691,993,1629,2036,2994,3545,4082,6017,8182,9773,41587
autonomous,0,0,0,0,0,0,0,0,0,0,0,0,12,11,22,13,27,30,36,36,60,88,112,141,195,244,465,826,1664,2356,3183,3993,4041,5727,7980,10261,41523
limitations,0,0,0,0,0,5,0,0,0,8,0,12,5,7,10,17,16,37,41,79,102,133,167,246,283,317,463,682,1020,1332,1978,2298,2847,5319,9194,14871,41489
embedding,0,0,0,0,0,0,0,0,0,0,0,0,16,0,14,18,27,42,61,66,126,150,199,206,282,581,858,1406,2302,3571,4143,4463,4383,5010,6146,7317,41387
directly,0,0,0,0,12,10,8,7,7,6,11,14,12,11,23,21,36,78,83,90,162,206,308,378,475,558,884,1352,1993,2722,3279,3753,4232,4887,6425,9287,41330
output,0,0,0,0,8,9,9,9,13,9,13,9,16,40,46,43,82,95,140,144,307,289,479,608,678,831,1231,1652,2326,2966,3861,3825,4003,4781,5966,6778,41266
llm,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,163,4167,14458,22415,41203
series,0,0,0,0,10,0,0,0,21,0,19,25,46,32,22,33,85,123,108,143,194,216,338,433,456,643,844,1101,1653,2516,3384,3781,4127,5492,7528,7794,41167
analyze,0,0,0,0,8,5,7,0,5,8,8,22,26,33,44,49,72,121,115,231,374,447,596,727,927,1015,1192,1627,2040,2638,3649,3796,3959,4638,5717,7027,41123
traffic,0,0,0,0,0,0,0,0,65,13,0,17,28,19,39,32,76,111,134,243,367,444,563,602,822,889,1170,1616,2296,2925,3603,3874,3732,4936,5924,6553,41093
feedback,0,0,0,0,0,0,0,0,19,0,8,0,0,14,16,44,141,235,261,388,454,567,483,628,665,839,898,1288,1618,2004,2757,2995,3349,4894,7017,9424,41006
learned,0,0,0,0,0,0,11,8,0,0,10,0,8,0,0,0,10,12,19,29,53,95,149,216,317,529,887,1484,2363,3315,4382,4696,5171,5454,5485,6301,41004
highly,0,0,0,0,0,0,7,5,9,6,10,10,13,23,26,30,40,51,71,138,205,269,389,515,632,764,1018,1400,2031,2669,3464,3880,4336,5058,6217,7700,40986
improvement,0,0,0,0,6,6,0,0,11,0,8,15,13,5,15,31,31,58,80,127,212,247,357,437,501,617,903,1237,1798,2593,3345,3672,4045,5340,7068,8119,40897
alignment,0,0,0,0,0,0,0,0,0,0,0,6,0,20,0,0,20,30,36,100,130,185,188,273,284,306,477,626,844,1266,1711,2048,2675,4540,9004,16050,40819
edge,0,0,0,0,0,0,0,0,6,0,17,16,17,13,17,23,39,93,139,137,244,354,563,648,670,827,916,1388,1813,2672,3759,4296,4157,4740,5928,7301,40793
agent,0,0,0,0,8,10,0,18,16,16,27,11,35,35,24,31,36,58,77,131,191,288,320,347,484,455,670,1076,1699,2343,3058,3395,3590,4144,6543,11559,40695
processes,0,0,0,0,6,8,6,0,17,14,22,25,26,50,42,52,81,152,175,200,370,527,777,810,955,1033,1133,1431,1860,2359,3071,3518,3361,4610,6509,7426,40626
classical,0,0,0,0,0,7,0,0,39,44,41,58,85,61,93,104,163,168,260,316,519,581,736,937,940,1027,1191,1467,1909,2612,3268,3524,3824,4306,5002,7288,40570
step,0,0,0,0,0,9,7,0,7,8,16,17,14,30,20,29,50,72,126,155,248,394,458,558,620,776,1036,1435,2110,2824,3578,3868,4091,4957,5843,7197,40553
fast,0,0,0,0,0,0,7,10,16,6,21,23,31,46,40,58,86,109,152,227,368,432,648,633,947,1128,1444,1762,2425,3071,4035,4027,4067,4441,4914,5343,40517
works,0,0,0,0,0,7,6,0,6,0,7,10,11,16,30,34,48,53,86,128,194,228,365,449,539,665,855,1169,1831,2630,3775,4673,5689,6278,6051,4612,40445
fully,0,0,0,0,10,9,6,11,9,12,15,16,5,19,16,30,41,80,105,80,166,220,311,358,482,593,977,1518,2117,2782,3498,3849,4160,4937,6149,7853,40434
original,0,0,0,0,9,10,8,7,6,10,22,9,24,34,37,61,58,107,113,194,314,393,524,572,625,753,900,1353,1958,2703,3388,3861,4036,5069,6619,6609,40386
efficiently,0,0,0,0,6,15,6,0,20,8,22,23,22,26,27,35,54,85,105,186,288,346,535,641,708,853,1094,1508,1982,2557,3381,3627,3976,4863,6555,6824,40378
literature,0,0,0,0,5,14,6,7,15,6,12,15,18,34,32,31,57,87,114,195,270,341,509,691,734,919,1141,1502,1976,2801,3823,4238,4400,5042,5948,5315,40298
gaussian,0,0,0,0,0,0,0,0,0,0,0,0,8,16,30,83,128,200,288,428,595,609,792,756,966,1049,1317,1450,1776,2300,2897,2995,2966,3577,6670,8393,40289
especially,0,0,0,0,5,8,0,5,13,0,11,11,13,19,15,27,22,47,72,107,173,207,316,371,506,533,733,1100,1624,2301,3302,3889,4368,5452,7184,7819,40253
components,0,0,0,0,15,7,0,6,20,5,17,16,30,66,76,62,63,135,131,201,354,361,507,552,727,803,890,1308,1760,2373,3064,3461,3556,4377,6229,9045,40217
clustering,0,0,0,0,0,10,0,12,0,0,0,12,17,66,58,56,58,117,115,164,405,508,825,1038,1116,1366,1490,1801,2377,3104,3700,3825,3676,4243,4653,5378,40190
finetuning,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,19,31,85,139,305,668,1326,1903,2873,5891,11557,15348,40151
able,0,0,0,0,8,10,8,7,15,9,18,14,23,34,39,58,67,113,125,200,288,399,538,732,831,1075,1474,2044,3023,3859,4735,4640,4612,4658,3699,2639,39994
physical,0,0,0,0,0,0,0,0,0,0,27,25,21,30,22,38,51,66,110,173,266,280,357,522,573,690,971,1206,1736,2270,3166,3591,3882,4726,6242,8922,39963
interactions,0,0,0,0,5,9,0,9,0,0,0,12,9,21,20,31,44,41,52,113,171,257,352,352,499,591,779,1087,1372,2022,2765,3365,3546,4947,7097,10350,39918
crucial,0,0,0,0,0,0,0,0,0,0,0,0,6,9,12,15,23,23,45,64,101,131,178,234,283,324,456,671,1003,1475,2227,2500,3014,6161,10806,10137,39898
additional,0,0,0,0,0,0,6,10,10,9,14,27,21,31,16,30,48,81,89,135,206,256,412,461,572,633,864,1137,1715,2543,3310,3607,4130,5178,6771,7504,39826
achieving,0,0,0,0,0,0,0,0,0,0,0,9,0,0,13,21,30,48,67,87,136,168,195,242,286,366,533,762,1036,1443,1938,2175,2644,4707,8748,14079,39733
leveraging,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,15,17,39,61,86,134,200,302,493,836,1238,1843,2250,2754,5425,10586,13282,39577
shows,0,0,0,0,6,16,14,12,11,17,16,22,28,22,41,51,52,113,139,192,341,457,542,656,722,879,1121,1415,2012,2659,3515,3949,4236,4629,5398,6292,39575
particularly,0,0,0,0,6,0,0,0,5,8,7,16,8,6,15,20,35,42,64,68,134,145,249,280,343,413,571,714,1035,1395,1906,2127,2366,4485,9692,13400,39555
computer,0,0,0,0,7,9,8,0,47,24,55,86,54,69,68,104,130,133,210,307,444,438,639,826,939,1027,1376,1758,2325,2749,3441,3907,4075,4659,5095,4465,39474
programming,0,0,0,0,11,11,9,9,44,31,117,116,137,99,123,150,205,205,208,366,613,718,865,1149,1172,1217,1419,1732,2204,2660,3086,3301,3258,4098,4768,5331,39432
explore,0,0,0,0,0,5,0,0,6,5,14,21,11,13,29,21,38,48,64,89,125,207,242,317,432,559,806,1099,1710,2290,3027,3519,3998,5766,7680,7241,39382
times,0,0,0,0,0,6,0,0,9,10,15,16,33,21,28,42,61,107,141,177,290,436,472,593,690,849,1114,1503,1868,2372,3162,3344,3724,4612,6179,7447,39321
classes,0,0,0,0,11,19,19,14,19,37,24,39,50,64,38,74,87,101,190,230,408,464,627,790,745,989,1211,1605,2036,2719,3603,4214,4322,4719,5084,4679,39231
issue,0,0,0,0,0,10,0,5,6,9,7,22,10,9,23,21,37,54,54,121,185,199,285,364,417,504,648,909,1418,2046,2851,3471,4125,6216,8056,7088,39170
train,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,8,8,8,6,20,17,42,49,98,196,352,758,1306,2226,3054,4121,4528,5126,5712,5860,5566,39068
face,0,0,0,0,5,0,0,0,6,0,0,0,0,6,13,21,30,15,37,59,212,188,227,425,494,612,1023,1730,2152,2546,3281,3943,3683,4526,6183,7598,39015
attack,0,0,0,0,0,0,0,0,0,0,0,11,8,23,20,36,46,42,76,159,193,230,284,314,450,452,570,858,1719,2644,3646,4036,4247,5147,6079,7480,38770
transformer,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,7,22,22,36,76,212,878,1833,4388,6129,7298,8606,9210,38722
since,0,0,0,0,6,12,8,11,8,23,28,32,32,36,40,50,73,114,163,231,396,471,645,747,811,941,1251,1631,2170,2967,4023,4298,4751,4688,4333,3668,38658
signals,0,0,0,0,0,0,0,0,0,0,8,7,0,21,12,34,30,73,166,229,298,395,550,716,756,985,1265,1355,1821,2251,2890,3229,3590,4159,5347,8466,38653
scale,0,0,0,0,0,0,0,0,0,9,10,11,22,30,22,40,51,51,76,128,243,286,424,486,647,850,1131,1530,1969,2632,3472,3399,3726,4308,5324,7749,38626
values,0,0,0,0,6,11,0,10,14,14,23,50,31,36,39,63,98,128,163,314,424,539,683,870,823,938,1085,1437,1895,2585,3449,3506,3598,4426,5492,5853,38603
baseline,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,12,18,45,81,100,150,272,557,979,1567,2266,3254,3870,4332,5085,6356,9532,38481
sample,0,0,0,0,5,6,0,0,8,0,13,6,18,10,12,18,27,57,96,108,152,214,393,464,546,675,807,1192,1866,2638,3379,3923,4409,5201,5804,6374,38421
despite,0,0,0,0,0,0,0,0,0,0,14,17,8,6,8,23,23,24,47,51,97,150,190,268,308,469,631,843,1224,1753,2471,3036,3410,5228,8337,9726,38362
therefore,0,0,0,0,0,10,6,6,8,11,19,16,22,22,32,34,53,75,134,169,296,309,454,545,704,766,1022,1352,1999,2705,3799,4336,4632,5167,5312,4288,38303
providing,0,0,0,0,10,0,0,10,10,8,9,25,21,29,22,27,43,72,74,142,235,267,348,432,514,555,724,967,1465,1834,2483,2850,2973,4574,7620,9906,38249
languages,0,0,0,0,27,45,28,23,30,31,36,33,38,56,63,46,127,96,174,321,389,478,494,621,723,774,943,1167,1592,2024,2920,3170,3750,4599,6356,7034,38208
individual,0,0,0,0,8,6,0,6,11,8,13,24,27,27,25,54,62,77,109,170,357,383,520,590,631,850,1068,1392,1919,2391,3321,3526,3583,4489,5822,6738,38207
continuous,0,0,0,0,0,0,12,0,7,0,9,19,23,22,31,43,57,68,68,121,185,312,474,527,551,666,864,1249,1784,2615,3310,3497,3871,4467,5782,7537,38171
labels,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,15,18,27,37,47,65,159,221,252,451,732,1073,1716,2615,3690,4613,5129,5774,5856,5655,38163
could,0,0,0,0,0,0,0,0,11,11,16,25,16,34,46,30,55,94,125,122,234,285,382,539,612,705,961,1394,2070,2721,3793,4267,4604,5178,5389,4400,38119
introduces,0,0,0,0,0,0,5,7,0,6,6,9,19,24,19,33,32,52,66,65,121,159,207,269,289,348,448,595,871,1134,1533,1846,2200,4260,9594,13852,38069
safety,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,9,24,37,61,86,104,135,138,204,261,487,616,1015,1422,2148,2808,3001,4536,7947,12846,37899
insights,0,0,0,0,0,0,0,0,0,0,0,0,7,0,7,15,12,15,36,47,77,110,154,180,287,358,504,684,993,1272,2050,2213,2430,4855,9446,12095,37847
solving,0,0,0,0,0,6,0,0,6,21,39,48,45,41,53,46,83,96,140,206,368,499,629,762,878,917,1037,1355,1703,2554,3341,3642,3729,4586,5405,5553,37788
automated,0,0,0,0,0,0,0,0,0,0,17,22,8,24,16,18,20,33,39,69,155,163,212,292,322,382,606,1007,1482,2063,3002,3348,3290,4646,6316,10216,37768
less,0,0,0,0,7,6,5,6,9,16,16,32,20,17,21,40,52,80,120,148,267,353,451,617,648,771,1010,1325,1855,2598,3372,3736,4047,4814,5537,5708,37704
resources,0,0,0,0,8,8,0,10,17,15,22,36,40,96,65,66,85,113,116,187,373,354,540,612,834,802,1038,1320,1913,2137,3028,3382,3709,4405,5864,6504,37699
testing,0,0,0,0,0,7,0,0,10,8,13,16,16,26,24,53,42,95,118,142,316,318,521,538,647,657,855,1326,1864,2422,3124,3473,3630,4673,5882,6799,37615
hybrid,0,0,0,0,8,13,6,9,0,6,0,16,14,11,28,28,40,93,80,128,240,288,491,555,624,761,886,1236,1525,2136,2842,3171,3438,3960,5540,9333,37506
distributions,0,0,0,0,0,0,0,0,0,15,15,19,23,32,43,76,79,118,170,195,345,401,686,764,671,861,910,1312,1735,2400,3114,3466,3422,4188,5412,7007,37479
lack,0,0,0,0,0,0,0,0,0,0,10,11,0,12,14,10,15,27,39,59,79,102,157,201,265,302,484,683,1236,1674,2589,3060,3560,5077,7413,10317,37396
query,0,0,0,0,0,0,0,0,13,56,53,37,64,34,36,84,88,86,159,281,379,565,695,771,694,1008,1273,1321,1740,2283,3048,3076,3427,4240,5179,6624,37314
reduction,0,0,0,0,0,0,7,0,8,13,26,16,22,17,50,44,63,127,147,167,382,388,552,674,771,869,1123,1400,1886,2422,3076,3342,3393,4133,5356,6753,37227
mobile,0,0,0,0,0,0,0,0,0,24,14,18,12,22,50,29,81,106,132,292,747,606,802,1066,1143,1269,1663,2189,2687,2648,3268,3338,3192,3427,4024,4378,37227
type,0,0,0,0,21,25,8,11,22,21,39,40,46,74,65,67,115,153,197,260,482,542,727,807,823,1119,1531,1611,2266,2803,3483,3834,3667,3992,4172,4197,37220
presented,0,0,0,0,33,21,15,19,45,40,80,58,75,88,78,169,176,266,337,368,643,660,916,1169,1222,1327,1469,1755,2157,2915,3695,3744,3615,3553,3651,2836,37195
generating,0,0,0,0,16,8,8,7,7,0,9,10,10,17,25,26,36,29,68,81,139,169,276,243,326,353,607,851,1408,1946,2420,2671,2931,5313,8036,8916,36962
tracking,0,0,0,0,0,0,0,0,0,0,0,0,0,8,18,20,13,25,46,55,143,159,313,397,404,712,1063,1492,2107,2463,3331,3623,3944,4466,5438,6631,36871
aims,0,0,0,0,0,0,5,0,0,0,0,0,11,9,11,11,21,34,36,70,126,145,234,280,344,444,522,820,1270,1926,2759,3445,4155,5960,7644,6431,36713
map,0,0,0,0,0,5,0,5,0,13,9,12,21,18,29,53,38,46,52,104,161,228,413,499,408,651,840,1363,2056,2802,3280,3726,4019,4390,5541,5911,36693
role,0,0,0,0,10,9,8,0,15,6,13,35,16,23,43,27,64,68,88,139,278,293,416,506,614,635,768,1005,1405,1871,2664,3152,3293,4679,6527,7818,36488
cloud,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,70,248,271,522,734,934,977,1306,1499,2052,2479,3391,3541,3874,4375,4957,5164,36426
action,0,0,0,0,0,5,0,0,7,0,12,0,32,19,10,22,26,16,36,56,94,162,219,284,397,563,912,1372,1782,2570,3341,3557,4035,4404,5249,7206,36388
adaptation,0,0,0,0,0,0,0,0,0,5,7,11,6,0,29,8,25,44,37,81,94,118,190,228,269,338,498,811,1272,1952,2877,3367,3773,4633,6382,9290,36345
artificial,0,0,0,0,8,0,0,5,12,5,10,7,17,23,51,38,26,39,102,116,197,192,243,380,389,382,556,891,1410,2020,2874,3455,3597,5090,6743,7441,36319
automatic,0,0,0,0,22,17,18,28,15,14,29,17,21,25,41,27,55,67,66,103,159,209,331,369,491,558,930,1443,2121,2774,3664,3915,4195,4496,5249,4790,36259
simulations,0,0,0,0,0,0,0,0,9,10,20,13,20,25,32,53,56,121,155,191,323,423,583,761,761,886,1080,1372,1587,2239,2849,3250,3284,4084,5196,6656,36039
scene,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,11,15,35,36,81,117,175,444,710,985,1585,2198,2649,3173,3746,5139,6789,8110,36011
