,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,Total
applications,0,0,0,26,40,53,67,77,123,125,171,217,264,314,448,482,625,716,896,960,1189,1463,1755,1992,2263,2412,2774,2876,3263,3417,3685,4206,4337,4301,4574,5295,5715,61121
control,0,0,0,0,0,0,0,0,0,12,42,62,33,111,129,137,254,322,458,525,645,865,1141,1520,1851,2135,2454,2822,3371,3649,4379,5361,5087,5101,5624,5950,6897,60937
energy,0,0,0,0,20,0,32,37,47,80,153,219,208,267,302,396,479,681,778,932,952,1433,1748,2097,2363,2857,3242,3495,3667,3705,3994,4132,4277,3946,4295,4555,5175,60564
simple,0,0,6,24,62,73,102,122,197,244,329,419,399,488,603,764,916,1140,1356,1343,1651,2033,2134,2432,2638,2872,2950,2921,3368,3133,3350,3714,3669,3542,3731,3793,3866,60384
sets,0,0,17,58,29,99,51,84,101,161,218,183,178,266,349,447,601,765,1002,987,1165,1568,1889,2119,2406,2673,2890,3220,3407,3670,3752,4007,3901,3853,4304,4559,4853,59832
framework,0,0,0,7,22,22,30,30,38,58,103,108,109,160,173,219,293,399,450,543,607,986,1126,1361,1621,1778,2073,2339,2480,2824,3362,4122,4586,4569,5136,6634,11079,59447
information,0,0,0,11,6,16,7,29,25,66,60,98,130,126,167,273,484,531,790,899,974,1461,1853,2144,2246,2564,2920,3003,3403,3466,3830,4139,4450,4431,4487,4984,4961,59034
many,0,0,6,39,41,73,69,75,107,168,209,229,286,354,426,602,604,771,978,1016,1194,1459,1786,1937,2284,2638,2765,3017,3132,3378,3724,4183,4152,4191,4160,4464,4418,58935
limit,0,0,0,17,33,54,51,77,99,167,235,265,285,439,434,628,739,937,1072,1293,1409,1763,2083,2272,2292,2551,2817,2839,3065,3194,3550,3704,3660,3833,3890,4290,4531,58568
every,0,8,11,57,68,104,95,103,128,185,200,253,252,405,421,577,609,721,887,1006,1255,1578,1839,2135,2469,2554,2870,2998,3345,3338,3589,3967,3701,3748,3965,4277,4831,58549
several,0,0,0,14,19,54,52,62,74,123,187,197,247,302,384,491,577,723,870,939,1100,1380,1619,2029,2275,2465,2801,2915,3143,3291,3581,4116,4253,4211,4380,4574,4833,58281
process,0,0,0,0,0,12,13,9,20,78,88,123,144,159,239,458,766,929,1075,1120,1350,1672,2088,2308,2449,2592,2918,3042,3063,3224,3634,3876,3852,3784,4083,4438,4502,58108
examples,0,0,0,28,46,73,94,101,164,206,261,340,389,434,565,678,744,934,1056,1142,1257,1593,1837,2030,2323,2639,2656,2880,3072,3209,3505,3765,3807,3692,4037,4121,4265,57943
asymptotic,0,0,0,8,14,34,28,47,77,101,127,166,223,284,350,516,744,993,1029,1270,1323,1626,1937,2058,2463,2656,3006,3060,3125,3219,3384,3987,3798,3653,3786,4288,4556,57936
polynomial,0,0,10,44,43,93,79,123,138,178,239,307,278,494,428,681,688,900,1110,1137,1338,1603,1835,2111,2276,2581,2591,2900,3063,3056,3352,3707,3443,3548,3829,4160,4511,56874
rate,0,0,0,0,0,0,6,7,8,24,38,50,73,61,107,210,412,597,840,1026,1099,1393,1709,2067,2257,2488,2791,3049,3242,3456,3877,4146,4310,4271,4220,4510,4526,56870
bounded,0,0,0,27,44,54,59,53,69,99,156,201,206,261,322,455,634,712,954,1029,1143,1485,1672,2044,2401,2553,2710,2804,3174,3440,3532,3958,3627,3822,3935,4181,4869,56685
defined,0,0,5,28,42,83,99,161,178,219,309,351,379,518,545,694,798,1030,1162,1205,1365,1728,1947,2153,2361,2642,2777,2847,3023,3190,3224,3380,3336,3326,3548,3738,4036,56427
corresponding,0,0,0,23,63,86,129,158,206,229,297,319,372,419,529,606,836,968,1058,1173,1312,1645,1838,2100,2159,2492,2576,2813,3043,3054,3346,3523,3572,3439,3663,3917,4131,56094
manifolds,0,0,0,35,81,142,137,252,364,411,498,623,722,773,952,1016,1158,1196,1304,1433,1627,1790,1876,2198,2324,2421,2485,2507,2604,2834,2827,2973,2776,2797,3170,3242,3659,55207
via,0,0,0,10,21,31,44,50,63,113,153,162,184,189,250,335,391,492,669,728,837,1125,1379,1598,1769,2007,2268,2461,2602,3000,3555,4002,4054,4278,4645,4901,6719,55085
introduce,0,0,0,15,29,45,41,55,91,114,147,186,211,248,301,426,512,658,700,795,942,1259,1461,1583,1832,2095,2321,2432,2723,2856,3278,3785,3810,3798,4361,5318,6295,54723
algebraic,0,0,0,66,67,132,141,218,215,304,396,457,546,612,683,904,892,1056,1312,1297,1447,1731,1799,2000,2306,2344,2529,2533,2671,2574,2834,3113,3037,3024,3399,3483,4043,54165
probability,0,0,0,10,9,20,18,21,20,65,98,159,135,200,269,463,562,752,978,979,1161,1534,1793,1953,2265,2489,2730,2824,3106,3192,3294,3691,3531,3571,3691,3818,3944,53345
main,0,0,6,29,28,68,57,91,102,158,202,239,284,347,437,548,695,834,892,1106,1217,1437,1645,1883,2060,2382,2601,2607,2857,3088,3283,3714,3508,3528,3669,3829,3831,53262
lie,0,0,0,57,128,169,214,304,407,447,513,624,574,833,833,1055,1187,1285,1487,1467,1581,1929,1836,2016,2222,2352,2416,2338,2446,2516,2478,2725,2640,2871,2727,3185,3299,53161
real,0,0,0,64,47,82,125,119,139,166,291,351,304,517,540,670,761,920,1053,1299,1295,1551,1786,2096,2244,2300,2702,2705,2965,2868,3098,3314,3165,3070,3179,3375,3616,52777
property,0,7,9,42,41,76,98,91,81,131,185,235,205,299,365,547,576,752,906,983,1193,1339,1522,1878,2267,2454,2565,2711,2909,3032,3314,3496,3312,3311,3532,3858,3985,52307
polynomials,0,0,0,28,114,154,146,240,230,218,211,292,352,524,540,726,772,937,1094,1128,1260,1629,1796,2045,2258,2378,2462,2667,2683,2785,3001,3243,3124,2968,3176,3513,3544,52238
second,0,0,0,29,32,67,58,64,91,151,197,238,255,370,388,533,605,751,927,1027,1148,1472,1581,1955,2216,2311,2542,2656,2917,3057,3149,3536,3475,3374,3513,3693,3830,52208
convex,0,0,0,30,24,26,20,30,43,49,102,99,124,150,225,296,321,458,617,653,833,1085,1351,1642,1912,2170,2651,2831,3143,3387,3635,3976,3886,3473,4153,4077,4419,51891
scheme,0,0,0,0,13,22,43,47,54,37,98,110,100,174,177,213,361,408,590,743,839,1201,1429,1645,2117,2294,2482,2697,3007,3308,3502,3998,3938,3949,3926,4318,4051,51891
