,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,Total
established,0,0,0,0,8,14,17,22,28,47,55,60,69,112,128,145,192,253,335,359,464,528,621,674,828,858,938,1050,1072,1204,1291,1446,1481,1393,1576,1716,2290,21274
riemannian,0,0,0,11,0,20,45,40,79,68,121,124,145,181,228,280,283,391,459,488,548,652,734,855,943,886,988,956,1006,1156,1162,1303,1191,1239,1443,1546,1654,21225
computation,0,0,0,5,0,11,12,16,27,69,73,89,82,92,112,148,154,246,250,305,332,463,575,715,729,754,843,1036,1163,1314,1440,1542,1582,1648,1671,1745,1973,21216
literature,0,0,0,0,0,6,8,11,8,15,35,39,50,38,74,92,117,175,208,239,302,362,472,580,745,797,898,1003,1163,1282,1413,1694,1743,1786,1827,2029,1979,21190
formulation,0,0,0,0,14,11,17,23,30,47,69,85,102,84,116,121,150,232,225,226,294,354,518,561,723,777,811,967,1133,1228,1311,1603,1761,1609,1751,1880,2326,21159
accuracy,0,0,0,0,0,0,0,0,0,0,16,18,25,21,27,52,53,73,101,108,126,228,302,422,545,660,656,805,947,1100,1361,1756,1820,1889,2142,2563,3311,21127
types,0,0,0,7,18,22,28,37,56,65,101,124,112,154,162,199,206,298,362,363,453,522,637,805,836,936,947,1020,1068,1226,1253,1361,1311,1452,1517,1757,1676,21091
total,0,0,0,0,12,10,8,18,25,34,65,73,106,92,119,162,153,202,297,313,433,517,656,715,899,946,1021,1151,1199,1227,1389,1506,1374,1407,1550,1647,1687,21013
uniqueness,0,0,0,0,0,6,8,19,10,44,39,70,66,82,103,128,223,260,354,418,463,553,665,708,844,916,976,1001,1187,1315,1336,1407,1420,1355,1492,1641,1884,20993
irreducible,0,0,0,13,40,61,78,124,144,182,198,194,220,245,326,471,372,499,520,584,599,682,660,817,923,942,910,976,1066,1073,1160,1044,1132,1031,1108,1279,1320,20993
reduced,0,0,0,0,13,26,38,31,35,69,110,89,92,112,149,189,262,253,288,361,373,466,540,760,733,871,982,1030,1019,1139,1415,1439,1465,1604,1649,1677,1672,20951
underlying,0,0,0,0,15,13,22,20,31,46,53,63,70,79,124,140,196,252,288,266,344,501,547,681,781,813,889,986,1082,1193,1302,1532,1589,1532,1618,1802,2010,20880
motion,0,0,0,0,13,10,6,20,39,67,78,109,110,147,147,269,323,355,455,517,604,712,861,943,994,994,1001,1055,1044,1068,1123,1337,1220,1181,1359,1290,1364,20815
orthogonal,0,0,0,5,32,55,52,49,62,62,76,77,93,223,151,262,291,379,406,428,582,531,698,770,845,934,1065,1040,1117,1092,1275,1316,1298,1316,1331,1465,1395,20773
omega,0,0,15,51,56,62,43,56,57,45,64,75,94,113,151,170,198,234,246,252,352,436,488,640,814,987,1017,1133,1293,1322,1367,1545,1243,1413,1458,1474,1723,20687
formulas,0,0,0,0,32,57,38,65,83,110,115,160,146,159,238,258,314,321,409,489,465,557,668,806,844,819,865,1142,1048,1124,1246,1262,1326,1141,1300,1508,1558,20673
simulation,0,0,0,0,0,0,0,0,0,6,0,16,17,21,22,45,100,127,158,200,256,349,460,604,708,821,919,1105,1204,1215,1476,1700,1724,1686,1687,2006,1976,20608
contains,0,0,0,21,25,52,44,55,68,89,105,142,121,156,210,240,275,320,410,470,473,609,674,787,901,952,1006,989,1117,1111,1214,1304,1301,1214,1293,1373,1463,20584
transform,0,0,0,0,24,25,23,20,32,52,64,89,159,125,177,214,236,277,398,356,387,571,705,783,957,915,1070,1033,1119,1121,1281,1256,1329,1230,1292,1629,1579,20528
poisson,0,0,0,11,46,58,74,99,108,126,140,198,197,288,266,329,395,399,495,503,526,577,686,680,846,867,1010,1055,979,1046,1097,1189,1158,1104,1210,1281,1437,20480
edge,0,0,0,0,0,0,0,0,0,28,31,30,35,54,55,106,148,146,193,242,296,396,528,596,756,791,958,868,1114,1246,1425,1472,1712,1656,1667,1868,2049,20466
computing,0,0,0,5,5,9,17,9,20,35,35,46,77,86,95,123,140,206,223,261,287,373,521,565,688,689,824,940,1120,1174,1392,1549,1611,1599,1778,2022,1929,20453
statistical,0,0,0,0,0,0,7,6,18,18,38,65,70,82,92,131,183,306,323,390,327,505,535,664,729,785,878,949,1100,1087,1306,1523,1578,1493,1550,1762,1950,20450
range,0,0,0,0,0,5,9,0,8,28,57,61,84,58,87,168,199,223,252,296,358,451,560,600,713,750,909,990,1097,1101,1317,1504,1503,1422,1636,1807,2022,20275
approaches,0,0,0,0,5,0,5,16,11,21,23,34,36,52,42,83,111,132,178,209,268,355,405,535,576,650,763,829,979,1054,1291,1545,1600,1602,1882,2157,2695,20144
components,0,0,0,15,25,29,29,28,31,58,92,103,121,145,139,215,238,314,355,380,455,520,606,672,767,900,949,880,1131,1100,1226,1319,1346,1216,1329,1544,1850,20127
ideal,0,0,0,9,19,56,23,40,41,68,100,118,127,269,237,249,341,338,475,471,484,602,687,780,983,788,949,953,1074,1020,1024,1157,1138,1224,1261,1383,1559,20047
sparse,0,0,0,0,0,0,0,0,0,0,7,10,10,16,16,38,54,75,134,195,353,548,595,845,1107,959,1238,1136,1208,1234,1337,1559,1381,1294,1478,1604,1598,20029
sharp,0,0,0,6,0,0,5,15,15,19,28,35,52,62,120,122,178,205,276,296,403,520,600,689,745,796,967,943,1095,1174,1220,1394,1432,1357,1544,1745,1960,20018
respectively,0,0,0,0,7,6,21,24,34,43,40,57,75,97,119,155,217,230,312,312,403,462,542,666,755,822,914,992,1065,1135,1240,1409,1452,1547,1664,1618,1554,19989
effective,0,0,0,0,19,13,11,19,27,62,69,71,95,70,119,115,147,228,329,297,341,460,582,666,722,727,864,963,1053,1063,1093,1355,1415,1415,1529,1918,2117,19974
stationary,0,0,0,0,11,11,9,11,24,42,34,59,71,77,69,160,197,294,352,363,445,490,659,737,810,926,898,1001,1095,1155,1376,1375,1397,1247,1317,1544,1703,19959
evolution,0,0,0,0,0,0,15,7,25,73,75,65,101,117,124,168,216,253,326,378,383,635,659,752,788,836,948,1002,1029,1152,1220,1329,1285,1301,1405,1557,1678,19902
topology,0,0,0,14,28,22,28,56,72,89,104,128,156,188,191,248,269,298,326,349,409,625,557,708,851,805,939,946,1047,1135,1249,1225,1298,1281,1344,1379,1529,19893
lambda,0,0,0,19,39,27,62,54,69,118,97,108,142,149,140,276,281,265,298,292,408,452,579,764,753,952,1092,1019,1206,1122,1128,1238,1184,1231,1182,1551,1596,19893
efficiency,0,0,0,0,0,0,0,0,0,0,6,5,10,12,17,21,62,75,143,152,174,228,274,401,528,678,821,931,1068,1063,1333,1528,1642,1572,1846,2413,2798,19801
capacity,0,0,0,0,0,0,0,0,0,8,0,21,10,13,24,80,257,265,445,621,585,830,906,916,909,1086,1124,1221,1328,1077,1094,1190,1095,1120,1128,1175,1195,19723
analyze,0,0,0,0,6,9,11,15,14,22,30,47,44,69,95,112,138,197,247,237,336,451,532,634,690,871,910,910,1113,1074,1212,1491,1349,1345,1513,1685,2233,19642
pair,0,0,0,11,8,16,33,25,37,59,105,124,116,134,187,238,233,301,347,428,486,544,617,709,784,813,930,901,1026,1039,1268,1289,1269,1208,1361,1425,1536,19607
schrodinger,0,0,0,0,10,0,12,20,47,63,109,96,105,134,194,223,282,354,385,441,459,630,679,797,810,891,882,912,1039,1110,1161,1197,1255,1077,1268,1426,1507,19575
spatial,0,0,0,0,0,0,0,5,5,22,21,29,51,64,43,76,166,185,228,250,313,398,440,596,709,809,942,1041,1101,1085,1219,1384,1430,1376,1663,1773,2126,19550
nontrivial,0,0,0,10,18,25,37,41,60,67,102,106,142,155,185,263,271,330,343,387,475,531,622,733,828,819,860,962,1022,959,1126,1287,1190,1264,1312,1430,1585,19547
direct,0,0,0,14,18,26,26,34,54,76,83,96,113,130,141,222,240,315,350,350,407,484,625,679,789,827,945,939,1019,1031,1050,1239,1275,1260,1341,1494,1825,19517
holds,0,0,0,12,19,22,22,24,36,45,69,75,81,90,134,204,207,258,317,352,406,528,602,689,789,943,939,986,1099,1158,1147,1259,1203,1303,1329,1515,1613,19475
extensions,0,0,0,9,13,16,32,43,70,69,74,138,161,153,186,314,269,329,373,392,452,591,631,743,824,843,949,1012,991,1036,1043,1193,1207,1180,1183,1372,1559,19450
fact,0,0,0,18,17,23,30,33,63,86,105,110,119,153,191,259,278,332,401,439,509,594,626,751,908,951,982,1076,1075,1044,1113,1243,1225,1156,1187,1209,1143,19449
path,0,0,0,0,0,20,27,16,23,42,47,88,77,64,121,161,190,199,310,308,360,476,589,701,768,783,953,900,1073,1174,1203,1249,1336,1463,1386,1545,1742,19394
step,0,0,0,0,0,10,16,9,29,23,50,47,42,58,60,96,120,172,192,237,246,344,481,569,649,677,787,879,1006,1167,1243,1458,1460,1546,1698,1832,2038,19241
means,0,0,0,8,22,21,32,33,52,63,75,88,105,136,153,178,234,310,358,393,438,576,595,800,881,900,987,987,1115,1192,1190,1299,1284,1129,1278,1186,1063,19161
metrics,0,0,0,11,0,20,33,38,49,66,114,141,215,157,203,307,275,367,418,420,474,533,605,722,799,755,918,829,926,1052,999,1159,1219,1118,1225,1451,1518,19136
expansion,0,0,0,0,7,22,31,42,64,74,94,100,120,101,163,214,275,292,359,414,453,552,684,743,796,868,906,872,1016,971,1125,1142,1230,1267,1265,1330,1456,19048
resulting,0,0,0,0,5,11,11,14,24,44,44,54,75,69,86,121,140,180,232,238,307,422,487,564,653,712,828,894,1001,1001,1207,1314,1453,1331,1526,1781,2158,18987
generalize,0,0,0,7,12,23,31,31,42,68,92,98,91,142,153,213,250,299,284,407,450,560,616,675,787,862,896,930,1004,1058,1143,1233,1257,1211,1245,1328,1477,18975
average,0,0,0,0,0,0,0,8,6,6,17,29,39,47,61,95,169,181,258,279,334,444,603,670,698,848,970,1009,1114,1130,1338,1456,1439,1410,1388,1458,1470,18974
pairs,0,0,0,10,13,18,39,54,48,66,116,112,106,136,151,196,224,244,367,370,451,527,574,607,730,808,881,959,1014,1047,1177,1240,1243,1206,1234,1467,1535,18970
interest,0,0,0,7,10,11,12,14,16,34,46,47,63,59,87,121,145,189,253,281,329,432,515,634,685,735,869,996,986,1138,1204,1393,1456,1440,1568,1640,1532,18947
mathcal,0,0,0,0,0,0,0,0,0,11,40,28,43,60,74,62,150,184,226,229,324,360,366,579,619,1032,1046,1138,1377,1475,1459,1341,1384,1411,1318,1294,1298,18928
rings,0,0,0,0,11,22,10,26,31,32,70,98,92,213,221,274,257,335,470,455,493,529,594,579,798,794,822,987,1025,929,1014,1079,1121,1303,1173,1469,1582,18908
simulations,0,0,0,0,0,0,0,0,0,0,6,9,20,17,28,40,75,118,168,149,208,330,417,553,675,699,815,917,1028,1033,1192,1407,1563,1530,1713,1949,2238,18897
original,0,0,0,0,6,11,12,20,28,49,65,66,73,74,105,149,177,206,252,267,346,422,528,672,703,773,806,917,1043,1051,1208,1335,1384,1330,1454,1698,1638,18868
dynamic,0,0,0,0,0,0,0,0,0,11,20,17,18,31,24,40,92,114,154,157,210,290,420,500,502,661,768,894,924,1098,1349,1523,1499,1642,1717,1964,2168,18807
test,0,0,0,0,0,0,0,9,11,8,27,21,44,52,51,71,133,190,235,281,309,365,422,538,680,760,688,947,1003,1182,1239,1623,1686,1472,1429,1653,1635,18764
variational,0,0,0,0,0,0,0,7,19,22,45,100,70,71,98,124,161,221,227,272,254,406,550,575,694,750,862,921,1065,1108,1199,1291,1420,1361,1490,1569,1786,18738
generic,0,0,0,14,32,28,38,60,61,119,116,122,136,183,223,304,281,318,383,396,455,565,599,688,713,866,810,917,904,1004,1051,1115,1148,1229,1308,1264,1279,18729
law,0,0,0,0,0,7,8,7,0,28,63,45,73,99,127,178,223,336,392,425,490,529,661,787,838,906,837,909,864,1024,1105,1142,1151,1199,1371,1405,1476,18705
leads,0,0,0,12,22,21,18,32,44,72,94,123,115,139,172,199,266,278,348,302,405,538,579,650,743,806,885,911,933,1018,1110,1201,1263,1247,1281,1464,1378,18669
involving,0,0,0,0,9,12,15,14,32,37,52,61,76,84,104,137,166,215,238,287,340,430,527,568,683,779,842,967,1104,1076,1106,1347,1193,1270,1399,1680,1814,18664
delta,0,0,0,6,9,15,29,36,46,55,82,57,57,92,127,116,169,259,243,327,373,514,567,625,655,819,895,911,1041,1146,1103,1294,1210,1306,1427,1447,1538,18596
induced,0,0,0,6,9,22,18,45,42,61,93,92,77,120,151,140,184,256,321,315,345,419,549,610,745,797,866,916,989,1001,1074,1199,1264,1174,1328,1519,1777,18524
equal,0,0,0,10,11,26,34,36,59,61,96,111,117,151,183,236,332,329,349,455,535,609,712,775,810,927,965,961,1015,1019,1049,1060,1062,1090,1116,1108,1082,18491
euclidean,0,0,0,0,5,26,27,35,38,67,76,101,118,154,176,222,231,288,394,345,472,590,575,690,742,795,859,918,1066,1002,1089,1153,1244,1109,1165,1284,1410,18466
fourier,0,0,0,0,19,14,23,24,21,31,46,56,105,105,150,143,148,235,284,381,360,480,529,643,746,760,962,934,954,1136,1111,1194,1103,1229,1253,1674,1544,18397
illustrate,0,0,0,0,0,7,15,8,14,15,29,42,26,42,66,77,123,160,182,208,228,381,468,532,652,765,793,966,1037,1148,1312,1440,1513,1406,1473,1551,1698,18377
theories,0,0,0,19,46,43,76,63,88,139,171,179,206,232,197,222,267,286,370,335,417,525,663,740,737,749,841,860,876,955,978,1119,1172,1099,1179,1249,1257,18355
assumption,0,0,0,0,6,15,17,15,17,36,34,52,44,72,71,103,167,189,265,303,348,403,480,618,709,820,870,914,1078,1069,1214,1284,1291,1329,1370,1464,1677,18344
strongly,0,0,0,9,7,11,11,7,26,53,47,52,67,104,122,140,182,209,236,274,361,421,480,628,730,806,885,870,1012,1147,1153,1274,1357,1378,1390,1352,1514,18315
bundles,0,0,0,23,39,104,137,154,163,170,213,274,259,255,355,363,346,439,459,522,527,569,678,692,648,703,803,849,829,821,835,884,919,970,998,1094,1217,18311
finitely,0,0,5,14,26,29,22,50,35,88,76,91,89,165,182,308,289,358,412,431,526,566,700,661,840,868,858,955,971,935,1037,1067,1002,1085,1115,1136,1304,18296
code,0,0,0,0,0,0,0,0,0,15,0,23,19,27,39,39,208,245,354,394,360,618,529,752,818,757,891,955,1037,992,1121,1097,1236,1359,1303,1472,1635,18295
conformal,0,0,0,12,48,41,42,63,88,129,116,201,217,209,258,322,283,391,404,424,479,549,673,650,679,738,866,886,811,930,910,906,1043,982,1154,1251,1453,18208
signal,0,0,0,0,0,0,0,0,0,0,11,6,15,21,25,40,91,110,152,269,380,485,595,756,998,1062,1187,1261,1242,1168,1113,1225,1141,1099,1191,1184,1357,18184
low,0,0,0,0,0,0,0,20,15,23,42,45,55,70,83,93,145,182,261,297,352,416,491,584,678,812,891,940,1134,1042,1303,1385,1313,1333,1343,1481,1345,18174
singularities,0,0,0,21,13,69,42,72,81,118,146,183,168,237,300,295,302,399,439,388,475,585,653,730,739,787,875,808,940,883,945,958,992,1037,1057,1072,1360,18169
infinity,0,0,0,16,0,11,15,16,37,75,74,92,100,146,174,231,244,351,396,422,530,598,691,802,797,832,913,877,897,1047,1036,1083,1116,1080,1074,1143,1203,18119
scalar,0,0,0,0,12,30,23,31,39,79,118,106,113,136,153,193,253,309,290,347,439,533,577,680,772,826,860,874,934,1027,1062,1162,1225,1033,1158,1396,1324,18114
genus,0,0,0,5,41,43,71,56,127,188,159,152,224,275,319,318,315,454,450,549,496,621,683,673,772,744,803,840,886,909,930,1050,862,904,990,1041,1076,18026
volume,0,0,0,0,7,9,16,31,37,86,51,111,106,141,164,186,303,300,381,388,365,490,535,798,571,797,919,930,976,1002,1031,1109,1164,1089,1222,1338,1351,18004
bundle,0,0,0,19,53,88,84,128,183,183,173,276,258,306,359,387,377,459,513,496,462,559,627,676,703,817,766,841,857,820,802,927,825,931,965,980,1075,17975
difference,0,0,0,0,19,16,32,33,52,65,55,64,72,90,111,168,164,272,290,298,323,429,523,561,771,832,842,950,918,1127,1085,1250,1252,1243,1295,1379,1316,17897
explicitly,0,0,0,9,21,36,43,37,70,80,110,145,166,168,202,207,262,349,366,350,408,570,594,678,728,777,819,815,899,893,981,1130,1111,1106,1096,1223,1437,17886
physical,0,0,0,7,14,13,26,29,52,81,92,139,141,134,177,194,202,268,295,267,337,488,483,591,626,703,812,779,882,902,963,1164,1228,1218,1343,1534,1686,17870
strategy,0,0,0,0,0,11,0,0,0,21,8,0,16,22,0,43,69,86,187,193,232,368,423,490,602,696,688,890,937,1054,1112,1404,1462,1500,1445,1818,2079,17856
modular,0,0,0,0,18,35,52,51,49,111,128,154,123,167,241,267,290,355,376,347,437,542,545,658,754,817,713,836,966,1003,913,1104,1008,1031,1068,1220,1471,17850
channels,0,0,0,0,0,0,0,0,0,0,0,8,0,0,10,88,209,283,387,477,573,724,818,848,909,992,1051,1054,1129,954,957,1070,948,1038,1078,1151,1054,17810
trees,0,0,0,15,13,28,14,6,9,20,53,51,73,70,130,264,338,277,309,346,347,488,536,660,651,740,794,913,964,1048,1054,1090,1206,1134,1242,1359,1505,17747
parabolic,0,0,0,0,8,11,27,31,18,19,57,54,61,75,139,164,182,219,267,349,400,476,521,685,693,751,844,995,1051,940,1016,1299,1136,1149,1227,1370,1470,17704
additional,0,0,0,0,7,16,15,15,28,31,36,72,67,83,87,111,163,166,225,283,292,408,465,567,646,713,778,839,920,907,1154,1266,1266,1261,1428,1612,1748,17675
determined,0,0,0,12,20,34,33,44,52,75,90,111,101,146,157,202,239,297,320,345,428,530,620,720,781,758,868,884,949,930,1027,1125,1093,1080,1096,1160,1318,17645
flows,0,0,0,0,0,0,28,16,21,34,58,62,75,67,157,146,162,236,250,291,277,389,462,597,626,731,707,832,928,917,1097,1184,1402,1214,1410,1552,1715,17643
generating,0,0,0,0,13,13,13,23,46,67,69,119,103,161,206,223,263,318,371,422,466,490,600,654,656,788,837,941,962,957,895,1064,1080,1032,1122,1315,1302,17591
procedure,0,0,0,0,10,20,23,28,32,69,98,81,101,105,115,135,170,254,320,336,373,520,582,677,656,705,810,858,987,955,1089,1236,1284,1172,1137,1289,1303,17530
harmonic,0,0,0,0,12,33,51,56,66,64,125,126,128,105,207,219,280,303,311,361,483,573,644,787,766,729,773,925,1015,912,995,979,983,1046,1116,1076,1275,17524
binary,0,0,0,0,0,0,8,0,0,10,18,23,59,54,83,122,242,240,271,326,433,516,568,681,702,766,809,847,1079,989,1128,1175,1287,1213,1166,1292,1304,17411
sampling,0,0,0,0,0,0,0,0,0,0,12,16,17,24,38,28,107,121,163,208,261,347,366,535,656,674,815,824,906,1033,1039,1237,1348,1363,1552,1694,1990,17374
mixed,0,0,0,0,0,0,8,17,20,22,41,31,56,55,110,108,130,145,197,240,294,351,447,538,638,793,837,900,960,974,1017,1306,1360,1308,1414,1470,1566,17353
transmission,0,0,0,0,0,0,0,0,0,0,0,8,10,0,9,25,62,110,215,250,356,468,489,638,769,936,1009,1113,1206,1215,1167,1318,1186,1215,1189,1218,1165,17346
found,0,0,0,13,17,22,33,43,76,99,120,151,155,180,203,245,260,325,369,415,448,546,596,736,730,761,812,841,863,879,955,1053,1058,1043,1156,1126,974,17303
eigenvalue,0,0,0,0,0,9,15,11,27,54,69,77,70,87,117,153,214,221,286,305,346,458,545,611,695,764,847,881,957,1014,1133,1171,1082,1054,1194,1394,1406,17267
described,0,0,0,10,23,47,50,48,60,95,129,149,145,184,214,245,290,314,397,394,403,565,655,722,755,799,852,834,819,908,987,1058,1002,989,1041,1103,972,17258
asymptotically,0,0,0,0,0,0,12,8,12,15,44,51,77,68,102,162,213,249,372,343,384,507,579,660,708,795,871,937,944,980,1092,1171,1115,1087,1128,1191,1358,17235
sphere,0,0,0,8,11,19,42,26,54,93,112,162,161,164,221,260,309,342,366,376,420,555,586,700,720,764,830,886,917,927,967,1023,970,951,976,1044,1196,17158
support,0,0,0,10,11,5,6,20,36,38,31,46,53,74,94,124,137,185,235,280,368,420,490,564,644,699,818,944,922,1082,1148,1158,1206,1146,1249,1385,1487,17115
edges,0,0,0,0,0,7,0,0,13,21,34,23,33,49,63,112,159,180,219,215,292,392,539,642,728,771,836,870,1073,1068,1124,1162,1213,1096,1269,1399,1498,17100
specific,0,0,0,0,0,6,10,15,13,30,27,40,47,77,71,120,110,188,191,222,263,353,386,497,551,598,687,759,853,856,997,1189,1196,1221,1525,1962,2015,17075
equilibrium,0,0,0,0,0,0,0,0,9,18,36,53,36,73,82,99,136,208,246,260,259,421,517,508,601,690,787,943,925,968,1245,1289,1168,1229,1261,1400,1553,17020
integers,0,0,0,8,7,5,19,12,21,60,56,80,78,165,154,206,238,276,336,320,414,470,560,630,690,729,839,903,880,931,1045,1070,1064,1134,1067,1143,1343,16953
homotopy,0,0,0,0,0,29,22,30,59,118,114,184,191,195,255,307,324,475,429,441,549,499,591,611,660,720,805,697,902,889,979,969,876,956,1017,983,1033,16909
namely,0,0,0,7,0,0,22,19,40,46,66,68,74,101,94,147,175,189,249,309,344,412,495,597,662,746,770,884,962,977,1097,1174,1212,1245,1268,1278,1176,16905
adaptive,0,0,0,0,0,0,0,0,0,0,0,0,0,12,8,24,79,113,104,191,214,277,318,486,736,637,706,687,794,1001,1253,1320,1442,1371,1390,1679,2060,16902
basic,0,0,0,21,19,43,41,47,50,75,89,124,118,163,191,219,298,328,372,428,502,548,651,656,759,796,816,861,877,857,998,1013,1009,944,975,1073,939,16900
sums,0,0,0,9,14,13,21,34,41,66,65,68,91,96,156,184,231,294,337,321,453,466,560,596,731,802,802,928,982,979,937,1035,1091,936,1110,1123,1315,16887
tree,0,0,0,15,13,27,0,8,9,38,29,64,42,46,99,214,253,251,337,277,359,474,541,620,690,778,771,847,921,1048,929,1205,1149,1017,1230,1207,1330,16838
common,0,0,0,6,5,8,7,9,20,46,31,40,47,55,70,116,127,168,190,245,301,447,513,563,605,792,773,836,932,944,1161,1081,1175,1248,1261,1532,1417,16771
square,0,0,0,0,0,5,20,23,18,56,88,80,80,86,115,215,222,203,333,375,346,457,593,687,739,837,863,944,912,989,1010,1081,1053,1012,1048,1096,1149,16735
focus,0,0,0,0,0,0,5,0,7,10,9,20,21,43,45,55,97,140,178,201,232,290,399,455,505,638,694,742,823,966,1048,1225,1284,1329,1604,1777,1888,16730
subgroup,0,0,0,7,16,30,26,39,54,79,99,122,112,163,176,270,310,322,379,410,536,567,605,657,741,765,834,852,889,868,883,981,934,929,1011,979,1081,16726
satisfies,0,0,0,8,12,21,30,24,14,41,54,48,66,92,124,156,201,232,282,365,353,440,512,656,687,720,774,818,840,985,1076,1089,1091,1071,1144,1206,1428,16660
chain,0,0,0,0,0,8,18,17,24,41,81,73,91,109,127,230,227,265,369,344,359,487,609,668,698,804,820,824,882,925,1044,1004,936,1055,1054,1203,1245,16641
exist,0,0,0,15,15,28,30,36,38,53,70,80,103,129,127,196,223,258,287,339,376,501,554,604,666,712,764,857,884,857,983,1029,1070,1086,1131,1288,1246,16635
since,0,0,0,6,0,8,12,16,21,43,47,57,56,71,73,111,162,198,226,263,292,378,451,530,646,724,764,830,953,995,1097,1247,1205,1319,1321,1282,1230,16634
satisfy,0,0,0,7,14,17,23,24,24,53,75,66,98,107,130,152,209,249,271,321,360,430,508,570,666,718,808,861,916,931,1033,1095,1065,1068,1180,1213,1368,16630
banach,0,17,21,76,84,89,48,60,47,40,75,68,55,158,126,147,219,233,231,423,401,490,530,660,752,706,868,901,842,960,986,1032,952,1022,984,1148,1097,16548
holomorphic,0,0,0,24,42,36,71,93,69,107,158,196,200,216,256,294,385,395,482,502,433,433,555,585,648,715,746,761,853,860,823,863,842,924,910,1047,1024,16548
duality,0,0,0,0,16,24,54,52,60,105,91,102,94,149,189,232,240,240,387,410,413,425,501,567,691,782,702,814,826,872,987,1015,998,1000,1035,1199,1241,16513
double,0,0,0,11,27,30,47,70,100,88,88,104,93,145,158,210,229,277,344,321,333,417,472,560,565,736,786,746,775,899,936,1051,1147,1047,1161,1224,1307,16504
sample,0,0,0,0,0,0,0,0,0,7,5,8,16,23,23,71,109,165,238,276,245,275,382,480,595,644,715,763,926,935,1108,1217,1401,1351,1412,1513,1576,16479
satisfying,0,0,0,11,13,13,28,27,36,39,57,65,69,92,117,135,199,206,254,326,323,450,481,576,637,686,806,808,868,1019,1039,1052,1057,1109,1134,1208,1473,16413
source,0,0,0,0,0,0,0,0,0,0,21,25,25,47,41,73,122,189,288,352,391,534,655,673,650,748,883,871,798,961,984,952,1054,1114,1187,1269,1427,16334
fast,0,0,0,0,0,0,0,0,0,13,13,20,46,30,49,79,108,152,176,221,244,337,408,578,544,682,789,928,911,993,1121,1359,1272,1273,1298,1373,1310,16327
estimator,0,0,0,0,0,0,0,0,0,0,0,9,0,18,16,66,167,167,304,356,274,303,402,518,646,661,837,934,879,922,1182,1230,1219,1185,1308,1353,1344,16300
factor,0,0,0,12,7,6,7,18,17,38,31,53,66,70,84,142,168,249,250,275,336,443,480,578,654,753,785,826,849,864,975,1045,1092,1154,1215,1300,1426,16268
integrals,0,0,0,0,22,29,30,28,58,69,110,128,124,180,235,211,249,299,385,406,422,517,609,633,681,681,787,677,895,909,906,984,974,935,1004,979,1042,16198
best,0,0,0,0,6,8,12,0,0,24,32,30,36,25,57,79,128,152,181,173,252,368,442,490,579,711,737,801,883,939,1120,1305,1329,1303,1376,1317,1279,16174
achieve,0,0,0,0,0,0,5,0,0,0,5,0,7,11,10,33,65,82,154,174,226,306,354,453,526,566,647,770,829,850,1093,1243,1293,1364,1636,1743,1727,16172
noncommutative,0,0,0,22,17,58,42,73,116,142,150,286,304,303,380,402,479,482,484,486,567,663,678,662,665,780,705,732,702,702,777,655,768,643,655,730,854,16164
planar,0,0,0,0,0,6,0,0,11,30,35,68,71,90,115,139,224,199,232,317,326,440,444,658,779,714,786,759,857,910,1103,1012,1083,1125,1119,1211,1273,16136
constraint,0,0,0,0,0,0,13,12,5,21,10,36,37,33,62,70,97,132,171,201,225,356,397,436,508,602,679,807,939,944,1150,1273,1297,1341,1359,1353,1539,16105
odd,0,0,0,11,0,20,20,19,47,57,75,87,94,144,164,174,200,221,284,338,379,450,485,582,657,667,771,849,817,841,899,1005,989,1034,1110,1221,1393,16104
base,0,0,0,0,14,20,25,27,35,69,52,90,77,104,135,162,204,230,297,279,337,391,465,514,713,756,843,932,997,1014,910,1032,1055,949,1093,1080,1165,16066
dirichlet,0,0,0,0,16,0,0,0,14,29,29,31,54,81,101,132,161,228,268,257,326,385,455,668,700,709,722,878,932,1037,1001,1084,1065,1074,1051,1254,1318,16060
implies,0,0,0,8,16,16,41,30,28,62,88,73,107,128,153,197,239,251,307,342,403,454,555,593,643,735,803,872,879,933,1034,973,911,1016,1001,1061,1084,16036
geq,0,0,0,0,11,16,16,17,14,25,22,32,32,46,78,153,121,170,213,226,265,337,347,435,484,617,750,809,886,982,1048,1130,1099,1254,1168,1388,1845,16036
infty,0,0,0,6,14,15,10,14,19,14,44,59,63,67,89,127,154,207,230,228,318,410,449,499,566,690,841,861,912,969,1112,1142,1112,1099,1066,1260,1368,16034
specifically,0,0,0,0,0,7,5,7,7,18,21,21,20,41,43,57,77,110,109,138,179,237,295,364,459,453,596,684,697,778,946,1113,1201,1282,1601,2191,2273,16030
coupled,0,0,0,0,0,0,13,14,6,31,48,44,51,81,57,84,110,164,176,183,203,337,477,486,611,617,667,749,812,918,1058,1169,1161,1210,1358,1425,1600,15920
wireless,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,43,68,187,238,287,346,419,466,605,808,992,1007,1066,1035,1045,1168,1313,1161,1222,1239,1146,15867
improve,0,0,0,0,0,6,0,0,9,6,12,14,27,28,33,58,70,109,157,160,191,282,340,422,519,608,709,743,845,944,1073,1335,1320,1387,1492,1480,1441,15820
