,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,Total
outcomes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,6,8,14,17,13,14,48,67,115,83,104,162,253,914
types,0,0,0,0,0,0,0,0,0,8,16,16,9,20,14,22,28,28,33,21,32,43,56,76,107,78,87,116,104,914
stable,0,0,5,0,11,7,5,7,0,12,6,10,20,19,19,22,15,35,32,34,47,41,58,70,82,63,62,69,159,910
scenarios,0,0,0,0,0,0,0,0,0,0,0,0,12,8,10,13,8,10,20,17,27,36,48,99,75,77,108,156,186,910
climate,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,29,0,11,35,84,112,65,145,194,204,905
memory,0,0,0,0,7,6,6,20,13,40,23,25,25,10,35,25,21,31,20,37,73,34,51,70,60,44,72,79,75,902
news,0,0,0,0,0,0,0,0,0,0,0,12,9,0,14,18,7,46,28,0,45,42,44,93,79,59,79,162,162,899
markov,0,0,0,0,0,0,0,0,0,12,15,9,32,26,39,34,53,44,31,47,59,52,50,61,70,64,66,65,70,899
therefore,0,0,0,0,7,0,0,0,0,8,7,14,7,21,21,24,38,33,33,39,24,44,60,75,90,80,107,90,76,898
scale,0,0,0,0,0,8,6,20,23,31,32,15,15,22,26,14,28,28,26,40,25,31,72,50,67,59,60,74,126,898
labor,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,19,11,17,11,27,78,76,108,161,143,234,896
indices,0,0,0,0,0,18,6,6,11,21,13,9,17,16,36,43,39,37,38,30,19,30,62,69,62,57,80,86,91,896
specifically,0,0,0,0,0,0,0,5,0,6,5,5,0,11,15,9,10,24,21,24,18,33,34,61,81,80,119,193,141,895
reduce,0,0,0,0,0,0,0,0,0,0,0,0,0,10,15,8,25,24,22,22,25,21,55,95,93,85,101,121,172,894
defined,0,0,0,0,0,6,0,10,11,24,24,24,25,24,34,32,29,39,43,35,26,44,53,72,58,58,59,79,83,892
sentiment,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,10,0,30,37,51,71,58,74,142,198,202,890
convex,0,0,0,0,0,0,0,0,0,8,11,25,20,33,29,18,44,42,37,73,48,47,35,65,55,75,65,87,69,886
constant,0,0,0,0,0,0,0,7,11,16,13,15,13,14,29,37,49,30,32,36,45,50,40,59,79,82,65,57,106,885
health,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,28,44,126,169,125,94,98,182,881
structural,0,0,0,0,0,0,0,0,0,0,0,0,15,9,32,28,28,33,24,39,47,27,36,59,66,63,53,96,223,878
capture,0,0,0,0,0,0,0,0,0,0,0,0,5,5,10,13,20,23,26,16,23,30,42,64,74,66,90,173,196,876
lead,0,0,0,0,8,5,0,0,6,0,6,9,16,19,26,35,27,28,26,34,28,35,47,86,82,75,79,91,108,876
book,0,0,0,0,0,0,0,0,0,0,15,14,13,14,22,34,38,43,53,54,40,62,58,65,70,35,86,71,86,873
nature,0,0,0,0,0,0,12,0,9,15,9,21,18,19,19,22,13,22,26,32,32,37,46,57,75,64,104,96,124,872
indicators,0,0,0,0,0,0,0,0,0,0,0,0,0,5,9,8,9,22,29,15,37,21,62,100,103,71,95,118,167,871
investor,0,0,0,0,0,0,0,0,0,6,15,7,11,15,40,35,32,37,26,28,45,42,60,70,54,58,91,82,114,868
motion,0,0,0,0,0,9,7,0,7,13,17,21,25,21,22,22,33,34,46,66,76,49,48,56,63,53,61,61,54,864
evaluation,0,0,0,0,0,0,0,0,0,0,0,0,6,10,12,15,14,8,17,23,17,28,52,63,80,76,85,117,241,864
calibration,0,0,0,0,0,0,0,0,0,0,7,0,22,17,20,31,21,22,33,45,38,61,63,77,68,63,70,68,137,863
orders,0,0,0,0,7,0,0,0,0,0,23,12,24,28,47,38,40,41,29,69,43,30,47,87,46,22,86,68,76,863
money,0,0,0,22,0,0,22,0,57,10,11,0,24,26,23,19,24,19,37,63,41,44,40,47,65,42,63,93,69,861
innovation,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,9,0,21,14,14,38,58,101,126,117,152,197,861
attention,0,0,0,0,0,0,0,0,0,8,5,7,6,0,8,6,11,6,21,17,25,32,62,67,125,105,94,108,147,860
predictive,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,14,5,22,13,13,28,58,47,70,54,61,95,162,210,860
maximum,0,0,0,0,0,0,0,0,0,8,14,17,24,18,16,41,39,46,45,38,37,42,58,66,73,62,53,77,86,860
part,0,0,0,0,0,8,0,0,8,13,7,15,30,33,15,19,45,42,41,44,47,43,58,74,87,56,55,58,60,858
additional,0,0,0,0,0,0,0,0,0,0,9,0,7,14,20,21,23,20,33,36,32,36,58,85,81,64,106,108,105,858
scaling,12,11,11,9,8,14,16,33,35,22,45,38,25,27,32,48,44,20,32,21,46,36,35,38,27,22,35,32,83,857
predict,0,0,0,0,0,0,0,0,0,0,0,8,0,11,10,13,13,29,16,22,31,43,74,90,105,107,84,115,85,856
would,0,0,0,0,0,0,0,0,0,0,0,9,12,26,0,21,19,30,34,30,28,36,73,91,74,94,108,90,81,856
online,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,14,11,15,28,31,28,24,55,77,125,92,133,127,85,855
provided,0,0,0,0,0,0,0,0,8,0,9,19,13,15,27,21,37,37,49,38,42,53,51,87,84,45,79,80,60,854
major,0,0,0,0,0,0,0,0,7,0,0,7,10,14,14,18,22,27,26,24,29,32,48,87,88,96,86,96,123,854
forward,0,0,0,0,0,0,0,0,0,0,9,0,20,24,21,27,34,55,37,50,39,52,80,91,66,62,59,55,71,852
firm,0,0,0,0,0,0,0,0,11,9,15,8,25,27,14,20,55,17,24,22,32,25,35,55,67,73,93,76,148,851
periods,0,0,0,0,0,0,0,0,12,8,0,12,8,15,23,23,26,36,34,29,22,50,49,66,80,74,67,70,147,851
establish,0,0,0,0,0,0,0,0,0,5,9,5,10,25,20,19,24,28,32,38,29,49,47,56,57,59,88,94,155,849
highly,0,0,0,0,0,5,0,0,0,5,5,7,5,12,14,18,19,24,25,19,38,22,46,82,88,87,74,105,149,849
analytical,0,0,0,0,0,9,5,7,9,16,16,17,23,27,37,19,37,37,41,41,31,46,42,46,62,47,63,70,101,849
unique,0,0,0,0,0,0,0,0,0,0,0,10,9,20,25,19,25,32,29,28,42,30,45,75,66,67,87,121,118,848
gaussian,0,0,8,0,10,11,13,12,20,20,15,17,18,27,37,33,21,28,33,22,25,51,56,75,48,58,76,51,62,847
american,0,0,0,0,0,0,0,13,8,19,12,15,20,35,24,24,35,25,43,66,53,29,49,69,61,45,62,49,91,847
predictions,0,0,0,0,9,10,0,0,8,0,9,11,10,6,7,8,11,25,11,15,22,36,33,66,74,66,103,177,128,845
product,0,0,0,0,0,0,0,0,0,0,13,14,14,21,33,21,16,22,31,40,28,32,36,56,77,83,81,96,130,844
relevant,0,0,0,0,0,0,0,0,5,6,7,15,20,16,27,21,23,42,28,26,40,30,52,71,76,60,86,103,90,844
accurate,0,0,0,0,0,0,0,0,0,0,10,6,5,16,16,8,23,25,21,30,22,30,47,76,91,77,87,143,108,841
evaluate,0,0,0,0,0,0,0,0,0,7,0,0,14,9,9,16,7,21,12,15,23,26,46,68,70,95,102,129,172,841
benchmark,0,0,0,0,0,0,0,0,0,0,0,0,10,9,8,11,11,22,13,32,20,33,50,80,60,56,92,131,201,839
limited,0,0,0,0,0,0,0,0,0,0,5,9,9,0,11,16,11,18,17,14,24,32,38,62,86,73,102,110,195,832
impacts,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,12,8,16,8,23,23,17,52,85,96,75,97,129,183,831
initial,0,0,0,0,0,0,0,0,13,8,13,7,12,30,21,21,27,41,29,34,42,48,48,66,60,63,72,82,91,828
llms,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,104,316,406,826
property,0,0,0,0,0,0,0,8,0,15,13,26,27,18,19,33,29,41,43,38,66,41,53,60,75,36,52,71,59,823
especially,0,0,0,0,0,0,0,0,0,0,0,0,0,16,17,12,21,21,26,22,26,28,59,81,64,75,87,123,143,821
cryptocurrency,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,51,82,100,63,87,145,141,141,818
losses,0,0,0,0,0,0,0,0,0,0,0,0,15,14,12,36,21,35,37,45,22,38,28,72,66,56,91,121,108,817
rather,0,0,0,0,0,7,0,0,0,8,10,13,0,12,17,23,17,36,36,28,24,35,57,61,64,55,63,70,180,816
artificial,0,0,0,0,0,0,0,10,0,0,0,8,10,0,0,6,8,8,17,14,7,21,56,69,68,74,92,138,210,816
benefits,0,0,0,0,0,0,0,0,0,0,0,0,5,0,6,0,28,16,16,14,16,22,33,75,95,64,117,135,173,815
international,0,0,0,0,0,0,0,0,0,0,13,5,9,0,16,37,18,19,34,30,28,26,53,72,91,73,96,91,103,814
good,0,0,0,5,5,13,0,7,12,19,14,17,15,20,31,34,37,32,23,28,30,27,62,77,68,65,61,60,50,812
sectors,0,0,0,0,0,0,0,7,5,0,0,0,0,10,22,11,11,25,40,25,24,18,33,89,74,99,99,85,134,811
much,0,0,0,0,0,8,6,5,11,8,11,16,12,22,19,18,23,27,28,36,31,32,56,86,82,71,70,71,61,810
studied,0,0,0,0,0,0,5,8,15,11,17,27,20,25,27,24,36,45,47,36,38,49,50,60,58,58,67,47,39,809
extreme,0,0,0,0,9,0,0,8,5,8,0,7,13,24,29,27,11,28,28,21,38,30,41,60,60,77,66,99,119,808
whose,0,0,0,0,0,6,0,0,11,12,17,24,23,17,37,29,39,30,44,27,40,34,60,48,71,64,52,51,71,807
explore,0,0,0,0,0,0,0,0,5,0,8,0,0,8,6,8,14,15,17,21,23,36,45,65,85,66,106,140,138,806
temporal,0,0,0,0,5,0,0,6,11,5,7,6,20,9,7,5,11,22,28,12,23,15,31,60,70,51,90,117,195,806
regime,0,0,7,0,6,0,10,10,9,11,12,16,14,19,14,21,28,28,31,33,21,55,34,43,65,49,70,65,134,805
following,0,0,0,0,0,5,6,0,8,11,7,11,19,14,28,18,19,31,26,41,34,37,48,78,79,52,69,75,89,805
individuals,0,0,0,0,0,0,0,0,0,0,0,5,0,9,7,10,12,10,14,24,7,23,28,103,107,109,88,129,119,804
independent,0,0,0,5,0,0,5,6,14,13,17,13,20,18,25,38,36,25,33,32,33,42,33,60,61,65,54,78,76,802
environment,0,0,0,0,0,0,0,0,0,0,0,5,11,10,0,12,14,12,26,16,27,34,68,67,109,89,87,107,108,802
pandemic,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,180,228,129,104,63,97,801
feature,0,0,0,0,0,0,0,0,0,0,8,0,5,9,10,9,13,10,18,12,40,45,59,79,91,60,83,147,103,801
frequency,0,0,0,0,0,12,8,5,12,20,10,15,17,22,40,35,53,40,26,22,38,41,35,45,74,31,78,56,61,796
contracts,0,0,0,0,0,0,0,0,0,0,11,9,0,13,16,18,30,49,36,31,35,41,58,66,75,71,59,84,94,796
activity,0,0,0,0,0,0,0,14,12,15,16,7,17,16,15,28,18,32,31,17,20,37,44,60,90,59,82,79,85,794
spread,0,0,0,0,0,0,0,0,0,23,11,11,19,33,36,21,32,43,23,45,29,46,38,107,85,38,45,52,55,792
call,0,0,0,0,0,0,0,8,0,12,10,15,33,24,41,40,33,32,46,34,38,47,62,53,65,37,64,44,54,792
training,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,54,83,60,95,130,157,181,789
blackscholes,0,9,0,0,0,13,0,0,0,12,18,15,29,48,32,17,34,40,66,29,42,43,37,48,63,43,49,48,52,787
clustering,0,0,0,0,0,5,0,14,10,15,21,14,13,12,10,13,21,27,42,39,20,23,57,57,53,51,59,94,114,784
tax,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,17,0,33,35,27,29,54,60,46,116,89,61,90,109,783
determine,0,0,0,8,6,0,0,0,10,0,8,8,9,17,19,17,24,35,35,39,24,36,61,59,88,56,74,83,66,782
presents,0,0,0,0,0,0,0,0,0,0,0,7,6,12,11,13,25,18,22,13,19,30,48,58,66,46,108,124,151,777
macroeconomic,0,0,0,0,0,0,0,0,0,0,0,9,8,0,7,12,13,28,24,16,51,45,42,73,63,59,73,99,154,776
providing,0,0,0,0,0,0,0,0,0,6,0,6,0,9,9,6,16,21,15,22,23,25,36,66,62,51,86,147,167,773
per,0,0,0,0,0,0,0,0,11,0,0,29,0,8,15,34,22,6,25,36,16,12,29,69,84,66,69,107,131,769
indicate,0,0,0,0,0,0,0,0,7,6,0,0,8,8,14,8,10,9,17,19,22,28,34,59,92,67,85,122,154,769
carbon,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,9,10,23,68,111,90,121,158,159,768
describe,0,0,9,7,0,7,6,10,12,12,13,15,17,26,20,25,26,34,23,45,48,49,51,80,51,47,54,40,40,767
estimated,0,0,0,0,0,0,0,0,7,14,15,11,13,20,16,14,36,23,18,25,42,36,56,87,63,64,65,59,83,767
effectiveness,0,0,0,0,0,0,0,0,0,0,5,0,0,0,16,12,0,8,13,16,19,29,50,60,67,63,97,166,146,767
heterogeneous,0,0,0,0,0,0,0,0,0,8,20,7,18,5,17,15,15,16,26,25,19,36,41,59,83,68,60,90,138,766
stopping,0,0,0,0,0,0,0,0,0,0,18,8,28,13,22,19,38,64,48,34,74,37,60,41,83,54,24,47,50,762
review,0,0,0,0,0,0,5,0,6,10,11,9,17,20,7,12,12,16,12,21,24,20,36,65,84,49,96,105,124,761
four,0,0,0,0,0,0,0,5,0,0,0,9,11,5,12,15,24,20,22,24,23,32,42,93,86,65,85,66,121,760
interactions,0,0,0,0,0,0,0,0,12,0,12,7,6,0,9,29,14,35,31,32,24,43,46,55,81,51,77,90,106,760
recently,0,0,6,0,5,6,9,0,13,14,6,16,11,16,18,21,30,28,33,39,38,42,50,62,70,57,64,68,35,757
reduction,0,0,0,0,0,0,0,0,6,0,0,0,0,12,22,0,14,27,17,30,23,29,47,81,72,74,74,110,118,756
perspective,0,0,0,0,0,0,0,0,0,0,0,0,9,14,5,15,20,28,18,33,31,35,37,76,76,68,80,99,112,756
increased,0,0,0,0,0,0,0,0,0,0,0,0,9,0,9,10,13,13,12,19,16,25,36,70,105,89,84,91,154,755
jumps,0,0,0,0,0,0,0,0,0,14,12,32,14,31,30,38,40,48,40,30,52,38,59,31,52,44,31,47,70,753
environmental,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,8,0,0,0,0,20,37,39,109,82,93,108,247,750
tool,0,0,0,0,0,0,0,0,0,10,0,0,14,14,15,7,17,14,17,23,18,35,47,49,64,56,85,134,130,749
towards,0,0,0,0,0,0,0,0,6,7,0,7,0,6,6,14,14,21,15,22,24,44,37,78,94,65,120,90,79,749
implementation,0,0,0,0,0,0,0,0,0,0,8,0,10,9,11,14,27,36,20,18,17,23,58,83,65,45,84,101,120,749
sets,0,0,0,0,0,0,0,8,0,11,9,9,8,14,19,26,21,36,31,44,40,29,46,67,41,81,76,61,71,748
bayesian,0,0,0,0,0,0,0,0,0,0,7,15,26,25,11,14,17,28,23,25,41,51,63,63,74,55,50,74,84,746
futures,0,0,0,0,0,0,0,0,0,0,0,0,0,15,39,31,18,39,17,40,25,34,62,50,79,57,70,79,89,744
tools,0,0,0,0,0,5,0,0,0,7,0,6,6,8,8,13,23,18,21,28,23,16,50,49,69,53,96,98,147,744
theorem,0,0,0,0,0,0,0,0,6,5,17,16,17,32,24,31,47,56,45,34,35,64,52,41,35,37,34,46,70,744
ability,0,0,0,0,0,0,5,0,0,0,10,0,0,5,5,7,16,17,13,30,27,24,30,62,72,61,82,148,129,743
forecast,0,0,0,0,0,0,0,0,0,0,0,9,9,0,7,7,17,13,27,25,28,41,52,83,74,63,83,105,99,742
yet,0,0,0,0,0,0,0,0,0,0,0,0,6,0,6,9,8,17,19,31,15,35,37,61,81,63,76,88,189,741
chain,0,0,0,0,0,0,0,0,0,0,11,0,16,28,26,11,37,18,25,28,21,29,47,50,46,58,85,79,122,737
around,0,0,0,0,0,0,0,0,6,8,8,8,9,16,9,21,17,12,26,27,20,38,38,57,67,81,84,86,98,736
trends,0,0,0,0,0,0,0,0,0,0,8,0,0,10,17,15,13,25,25,20,17,23,41,65,86,66,81,121,102,735
execution,0,0,0,0,0,0,0,0,0,0,0,0,9,0,16,31,37,42,21,23,23,25,44,55,47,45,83,77,155,733
monetary,0,0,0,0,0,0,0,0,0,13,0,0,8,0,19,14,19,10,17,21,25,36,42,62,76,62,98,77,132,731
behaviour,0,0,0,6,6,0,0,14,11,20,16,6,11,22,21,19,29,30,32,22,30,33,53,33,69,55,71,53,69,731
transactions,0,0,0,0,0,11,8,0,11,12,0,0,10,19,25,18,18,26,21,19,38,28,41,40,46,92,71,109,65,728
survey,0,0,0,0,0,0,0,0,0,0,0,5,7,5,10,0,10,0,6,15,6,16,31,76,118,103,88,87,144,727
profit,0,0,0,0,0,0,0,0,0,0,0,14,11,17,14,19,27,21,16,19,21,26,49,76,79,73,78,81,85,726
horizon,0,0,0,0,0,10,0,0,9,9,13,22,17,18,24,27,35,32,23,46,26,34,43,91,47,34,51,65,50,726
comprehensive,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,9,9,5,16,14,33,43,43,61,105,187,190,725
means,0,0,0,0,0,0,0,0,0,9,13,9,19,14,23,28,33,43,35,25,34,45,61,74,63,52,43,53,47,723
mechanisms,0,0,0,0,0,0,0,9,0,0,0,6,0,8,11,11,8,15,14,18,10,33,27,44,48,73,66,109,212,722
become,0,0,0,0,0,0,0,0,0,0,0,9,11,8,15,14,10,26,22,29,20,42,45,55,94,60,70,102,90,722
structures,0,0,0,0,0,0,0,0,11,0,6,11,20,8,21,12,14,38,22,24,24,38,46,47,54,38,71,90,126,721
difference,0,0,0,0,0,0,0,0,5,7,6,13,10,31,23,19,22,36,28,49,31,28,52,61,58,42,49,74,76,720
causal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,13,29,49,86,74,90,132,228,718
procedure,0,0,0,0,0,0,0,8,0,12,15,13,15,19,23,21,20,49,26,39,37,50,48,67,51,56,41,55,53,718
predicting,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,6,9,10,14,17,35,63,65,84,93,97,135,80,717
objective,0,0,0,0,0,0,0,0,0,0,0,0,0,9,14,8,13,30,30,18,24,24,40,82,72,63,89,90,111,717
variation,0,0,0,0,0,0,0,0,0,7,7,0,20,19,32,19,26,26,29,22,26,22,28,58,79,58,52,78,108,716
assess,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,13,15,16,23,20,20,28,67,76,71,98,117,142,715
explain,0,0,0,6,0,0,0,0,0,9,16,14,17,16,21,22,25,24,33,22,32,35,54,65,75,56,48,67,57,714
entropy,0,0,0,0,0,0,11,8,12,18,29,11,12,0,22,24,29,29,27,13,33,38,38,34,52,72,57,58,87,714
spatial,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52,17,7,21,18,37,17,34,54,65,84,44,66,64,133,713
depends,0,0,0,0,0,8,0,7,7,15,21,19,16,22,23,26,20,33,27,33,37,27,37,46,60,40,53,48,88,713
task,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,5,7,8,12,28,54,47,69,104,95,130,147,712
past,0,0,0,0,0,0,5,0,13,0,9,10,8,9,13,17,21,20,22,34,23,32,53,59,82,61,69,83,69,712
trend,0,0,0,0,0,0,0,0,11,14,9,18,11,13,19,18,14,32,15,33,15,29,32,62,75,57,83,71,81,712
achieve,0,0,0,0,0,0,0,0,0,6,0,0,0,0,7,17,7,15,13,27,21,31,50,61,73,66,98,104,115,711
construction,0,0,0,0,0,0,0,0,0,7,5,8,35,16,19,22,18,17,29,18,19,31,33,55,50,61,63,85,120,711
allow,0,0,0,0,0,0,0,0,0,7,11,6,15,25,27,22,30,25,28,30,41,41,42,70,73,58,51,48,59,709
share,0,0,0,0,0,0,0,0,0,0,0,0,0,11,13,6,14,10,7,27,40,20,36,71,82,78,92,70,131,708
technical,0,0,0,0,0,0,0,0,0,0,0,7,0,10,11,9,17,29,20,22,24,27,56,58,74,64,70,95,114,707
comparison,0,0,0,0,0,0,5,0,6,7,7,12,9,19,18,28,31,22,18,28,20,28,53,72,78,44,69,69,63,706
year,0,0,0,0,0,6,8,0,9,7,0,15,0,16,15,16,32,14,16,28,23,23,31,73,75,56,70,63,109,705
institutions,0,0,0,0,0,0,0,0,0,0,7,0,8,6,16,18,20,20,37,39,28,36,49,52,61,62,63,93,89,704
technique,0,0,0,0,0,0,0,0,0,20,8,9,15,13,22,19,30,13,26,26,31,36,61,73,67,58,61,63,52,703
group,0,0,0,0,0,0,0,0,14,0,10,7,0,11,15,0,15,15,22,22,29,29,34,80,87,72,57,88,95,702
degree,0,0,0,0,0,8,0,7,14,12,17,12,17,21,21,28,22,37,28,36,25,33,39,62,55,37,64,47,60,702
correlated,0,0,0,0,5,9,7,5,9,18,19,31,6,25,11,27,33,34,43,30,33,30,38,43,49,41,42,63,49,700
games,0,0,0,0,0,0,0,0,7,6,19,16,0,7,7,18,17,21,41,26,32,21,49,57,93,35,78,82,67,699
tests,0,0,5,0,0,0,0,0,0,6,0,12,7,15,18,16,16,28,34,32,38,44,54,61,38,57,50,52,116,699
forecasts,0,0,0,0,0,0,0,0,0,0,0,0,0,5,11,13,19,22,20,33,22,38,32,47,51,49,81,134,121,698
concept,0,0,0,0,0,0,6,5,6,5,7,9,6,17,15,24,19,20,32,30,27,35,62,43,76,47,65,73,68,697
foreign,0,0,0,0,0,10,14,0,17,20,11,15,15,8,9,19,16,27,39,30,24,17,46,66,60,52,58,46,77,696
company,0,0,0,0,0,0,0,5,9,0,12,13,6,52,10,8,28,23,14,36,17,18,49,82,47,59,78,81,48,695
relationships,0,0,0,0,0,0,0,0,5,8,10,0,11,11,12,11,15,27,22,11,27,27,40,57,49,50,76,100,123,692
extend,0,0,0,0,0,0,0,0,6,6,10,13,10,19,20,27,31,28,19,37,38,30,45,51,47,39,62,59,93,690
basis,0,0,0,0,0,5,0,0,0,8,6,9,18,13,19,22,20,38,36,21,30,50,34,63,66,47,56,54,74,689
zero,0,0,0,0,0,0,10,6,8,17,8,17,16,26,21,23,38,36,30,40,25,31,37,66,48,35,38,29,83,688
response,0,0,0,0,0,0,0,0,0,11,0,0,0,13,16,7,13,12,41,16,8,32,35,86,85,45,74,91,103,688
direct,0,0,0,0,0,0,0,0,0,5,10,6,8,9,13,20,19,13,22,16,24,23,46,54,58,55,77,71,138,687
component,0,0,0,0,0,0,0,0,0,5,0,9,17,13,17,24,25,33,37,19,15,41,46,53,47,59,57,80,89,686
include,0,0,0,0,0,0,0,0,7,7,11,0,13,22,18,21,21,17,26,29,20,21,35,51,61,56,59,86,103,684
leading,0,0,0,0,6,0,7,0,0,0,5,9,9,15,19,17,10,21,24,19,23,33,25,60,57,43,67,88,126,683
bond,0,0,0,0,0,10,11,0,8,0,0,10,14,16,25,23,43,22,35,47,23,24,38,56,35,36,53,61,92,682
considering,0,0,0,0,0,0,0,0,0,6,5,8,6,7,15,15,12,19,15,29,32,34,58,45,67,62,87,91,66,679
government,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,12,16,17,14,14,19,40,81,81,73,110,73,120,679
strategic,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,13,0,10,9,10,32,36,45,60,51,70,150,186,678
either,0,0,0,0,0,0,0,0,7,6,9,9,10,15,9,16,15,36,24,26,36,36,43,65,71,71,49,60,65,678
called,0,0,0,0,0,0,0,0,0,10,10,9,12,9,16,26,30,30,28,34,28,31,45,58,74,65,61,67,35,678
according,0,0,0,0,6,0,0,8,9,6,7,15,14,11,16,20,23,31,39,22,27,34,41,66,59,40,67,69,45,675
larger,0,0,0,0,6,0,0,0,18,9,0,11,7,11,18,9,21,24,24,12,15,22,33,55,65,53,68,92,102,675
likely,0,0,0,0,0,0,0,0,0,0,0,0,7,8,10,11,16,15,17,20,21,25,34,79,74,64,71,107,96,675
compute,0,0,0,0,0,0,0,0,0,11,0,9,15,16,14,15,23,33,44,38,37,35,53,58,49,46,53,58,68,675
realworld,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,10,16,8,11,12,27,44,46,46,77,91,139,140,673
dual,0,0,0,0,0,0,0,0,0,7,0,13,10,20,26,17,30,38,33,64,49,37,45,60,31,39,41,53,60,673
leverage,0,0,0,0,0,0,0,0,0,0,0,10,22,18,11,16,25,39,45,31,32,17,42,38,44,46,63,92,82,673
least,0,0,0,0,0,0,0,0,0,0,17,5,6,14,13,11,19,38,15,39,21,34,51,69,65,57,65,59,74,672
differences,0,0,0,0,0,0,0,0,0,0,0,9,6,0,12,0,11,15,15,20,17,20,27,74,84,72,68,86,136,672
gap,0,0,0,0,0,0,0,0,0,0,0,0,6,0,10,10,10,11,14,19,12,17,34,42,66,61,53,136,169,670
although,0,0,0,0,0,0,0,0,5,5,11,8,9,9,6,15,21,22,22,25,14,25,43,63,70,61,60,60,116,670
metrics,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,11,7,21,17,45,50,46,47,72,132,215,670
components,0,0,0,0,0,0,0,0,0,0,11,0,13,16,14,16,27,36,36,43,29,29,46,48,53,42,38,73,100,670
reveal,0,0,0,0,0,0,0,0,0,7,0,5,0,10,6,0,8,10,6,13,21,16,27,44,54,34,77,110,221,669
exhibit,0,0,0,0,0,11,0,0,7,6,12,10,16,14,12,17,12,17,29,25,30,27,30,34,36,37,70,77,139,668
shortterm,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,10,0,17,11,21,10,40,53,57,66,63,61,117,134,668
equivalent,0,0,0,0,0,0,0,0,0,13,14,10,14,23,28,43,34,32,19,38,36,42,31,52,35,50,64,41,49,668
characterize,0,0,0,0,0,0,5,0,0,9,0,6,9,22,23,18,30,36,34,27,36,35,42,51,60,51,53,53,67,667
question,0,0,0,0,0,0,5,0,0,8,0,7,6,21,14,13,12,28,24,28,28,46,40,54,66,61,77,45,81,664
life,0,0,0,0,0,0,0,0,0,0,0,9,0,16,8,20,15,26,23,30,10,47,36,72,74,65,70,58,84,663
statistics,0,0,0,0,0,16,10,9,13,12,10,11,13,17,23,34,33,28,29,24,26,24,53,54,51,44,35,43,50,662
joint,0,0,0,0,0,0,0,0,0,0,0,13,14,14,9,21,16,20,27,23,32,37,32,61,59,68,67,76,71,660
points,0,0,0,0,0,0,0,0,0,0,6,10,0,12,0,19,23,19,18,27,25,27,39,50,69,61,56,79,120,660
integration,0,0,0,0,0,0,0,0,0,0,0,0,18,11,14,12,11,11,7,25,27,14,39,37,64,41,51,126,151,659
assumption,0,0,0,0,0,0,0,8,0,12,8,14,12,18,10,23,34,35,38,33,30,42,37,49,47,45,32,60,72,659
solving,0,0,0,0,0,0,0,0,0,0,0,0,10,14,12,16,27,20,26,35,32,35,46,54,68,59,61,91,52,658
adaptive,0,0,0,7,0,0,0,0,0,0,0,0,28,32,0,11,21,18,18,16,15,46,46,52,60,44,52,50,142,658
estimator,0,0,0,0,0,0,0,0,0,0,0,8,10,12,14,22,24,20,29,47,34,32,50,51,56,57,77,60,51,654
security,0,0,0,0,0,0,0,0,0,0,0,0,8,14,11,8,20,10,9,22,20,25,25,41,80,61,61,105,134,654
groups,0,0,0,0,0,0,0,0,0,0,10,8,0,5,5,8,14,9,24,19,17,17,34,87,71,66,66,94,99,653
expansion,0,0,0,0,0,0,0,0,0,0,17,0,13,24,24,47,27,25,42,19,22,33,38,40,57,38,47,66,74,653
